Application,Attendance_pct,Marks_percent,StudyHours_per_week,Assignments_submitted,Participation_score
Education,67.8833,76.9737,30.7048,11,7.7864
Education,98.5925,23.6394,2.3683,15,7.4748
Education,71.1039,56.2441,40.3634,15,9.017
Education,72.3888,68.0028,51.8294,9,8.0778
Education,92.6281,93.8503,43.8823,16,2.8878
Education,60.7024,37.3703,8.9737,19,1.2957
Education,52.2692,53.0215,31.7012,1,4.5381
Education,94.0672,22.4448,43.7006,12,3.887
Education,78.5978,29.4456,47.325,16,7.4154
Education,62.7381,7.9739,2.5818,8,0.6205
Education,67.1735,21.766,16.8088,14,9.2032
Education,71.4361,33.9116,52.6942,6,9.4697
Education,82.5526,43.9986,15.1499,12,0.6116
Education,73.5632,70.5491,28.7449,9,4.2821
Education,66.8818,46.6744,41.9047,17,9.0508
Education,88.3624,5.5781,60.0,9,1.9468
Education,53.228,77.0298,25.0917,17,6.9608
Education,80.989,50.9228,32.349,13,7.1532
Education,73.0996,91.3788,32.6487,18,2.3976
Education,65.8212,63.34,14.196,0,0.3073
Education,98.0487,53.6318,22.6844,3,6.4596
Education,89.3008,32.7993,26.0446,13,6.0347
Education,60.71,24.5106,1.1766,4,6.8076
Education,83.3442,23.4911,0.0,4,1.4295
Education,89.4311,40.2127,14.2657,19,6.3067
Education,99.6416,18.1791,30.9247,13,5.6751
Education,83.6535,83.9625,57.3746,7,4.4099
Education,85.3436,78.154,56.0754,11,7.8196
Education,80.2024,75.0258,39.5104,16,4.0011
Education,50.0,3.885,50.3723,2,3.9136
Education,77.8741,6.3412,50.7322,3,5.4003
Education,90.2434,60.8022,51.116,4,9.4244
Education,70.1059,75.6603,32.3458,0,3.5947
Education,77.7758,6.0923,40.2572,1,4.307
Education,94.4481,25.6322,0.0,4,2.6651
Education,58.1597,10.4147,37.4006,18,6.363
Education,65.6155,23.9375,24.5325,4,4.107
Education,54.9672,52.3699,39.3268,12,7.2491
Education,75.2224,9.9774,42.3699,4,1.4545
Education,89.3332,21.8776,6.5674,7,2.4532
Education,74.4562,57.0746,52.1643,20,1.8686
Education,52.3812,47.0138,13.6979,8,7.8906
Education,63.2636,83.1489,0.0,14,0.7145
Education,92.6196,13.0393,24.5733,2,2.2783
Education,78.2784,36.2074,5.6837,0,4.801
Education,95.0951,91.7088,56.5546,19,0.9006
Education,91.9465,74.3807,16.6981,6,0.16
Education,70.408,57.1352,13.4688,12,7.3017
Education,82.1408,78.0519,15.3649,2,6.0045
Education,84.2563,45.853,15.3462,9,0.1965
Education,85.9189,92.7985,4.7476,17,0.3462
Education,68.3033,61.0134,33.4015,15,2.0216
Education,63.7237,69.3533,2.9735,8,9.1525
Education,84.6722,63.2515,42.5455,14,6.7321
Education,90.0404,65.3036,46.9872,13,8.0167
Education,70.8289,62.4089,22.946,18,7.3363
Education,65.6677,9.0225,58.1021,5,9.9869
Education,93.247,61.4419,46.1254,6,9.6084
Education,83.5579,76.4081,6.2348,4,0.7981
Education,68.7721,0.7967,59.537,12,0.5844
Education,75.4637,90.4225,52.7229,4,4.7971
Education,99.6365,96.2481,44.6068,13,2.8686
Education,88.4655,14.6086,40.4498,0,5.1734
Education,60.7045,53.6053,34.9471,19,0.904
Education,64.5734,10.5323,59.2577,0,9.1051
Education,63.4155,28.4479,28.6442,8,7.8291
Education,92.4184,64.1797,10.5889,8,5.6465
Education,82.4729,31.8027,18.5493,14,4.4928
Education,97.1154,36.744,21.9565,4,4.8784
Education,53.5429,76.9093,20.487,20,6.2767
Education,52.0665,61.2128,4.6452,20,5.3337
Education,84.0869,56.9228,4.8535,6,4.9078
Education,62.2505,37.5075,0.0,1,6.8904
Education,83.4269,76.8455,42.0362,10,7.7403
Education,86.7008,45.0949,41.2058,9,6.426
Education,65.4641,84.5371,4.9224,18,3.7287
Education,97.3375,60.5842,18.9069,4,3.9777
Education,89.7508,50.8956,18.6673,14,1.3191
Education,69.3355,83.6661,26.0622,1,4.1603
Education,70.0142,47.9184,21.4441,10,8.0564
Education,86.4556,28.8232,51.5158,3,0.6816
Education,64.3037,15.218,52.9351,16,1.5454
Education,65.0279,59.7787,12.3953,1,8.5397
Education,81.4943,40.115,7.5233,9,5.6989
Education,56.7396,41.1514,49.2666,10,6.8966
Education,99.3988,32.855,28.7171,0,3.1789
Education,64.417,62.8888,18.8198,17,4.7862
Education,69.1193,52.2748,2.8626,4,7.2315
Education,58.9371,51.2752,37.7773,4,8.9088
Education,83.5575,27.8223,12.7786,3,9.8095
Education,53.6494,58.2253,4.0829,8,8.3986
Education,95.9282,39.5734,27.3327,18,0.7636
Education,66.1452,78.8144,36.8668,2,3.232
Education,95.8458,50.0303,11.0413,14,7.8993
Education,59.9928,31.1081,40.994,13,3.8184
Education,76.026,13.6969,11.4044,0,4.2696
Education,83.149,67.865,1.3559,9,7.8812
Education,79.2928,39.5388,7.6614,12,8.2694
Education,74.537,8.4792,36.291,11,7.8972
Education,89.5207,93.1186,37.5307,0,3.5408
Education,73.6896,39.1279,52.7618,1,2.3107
Education,67.7147,72.4494,3.9744,10,3.5253
Education,84.6972,48.3756,55.7993,11,6.8546
Education,96.1303,89.1501,31.4315,0,3.6973
Education,81.3523,3.1779,14.2216,9,0.9501
Education,64.5071,26.7264,20.21,2,7.7586
Education,88.4483,56.5602,3.7433,8,0.5481
Education,88.0587,29.0668,8.6614,16,10.0
Education,63.7438,74.1841,51.7741,18,8.8856
Education,69.2613,67.9342,3.1413,17,10.0
Education,57.1461,5.5207,5.7969,4,8.5672
Education,54.442,63.5207,33.9655,6,0.8609
Education,89.4565,84.1746,25.0841,14,4.3636
Education,68.8168,28.9354,25.9404,5,9.1559
Education,62.1174,12.7548,7.3163,4,0.7156
Education,62.8092,68.7781,1.88,18,2.965
Education,53.2382,92.0738,53.3146,12,4.3074
Education,100.0,64.5478,23.5676,6,4.1548
Education,66.9552,87.0273,8.8174,1,9.3015
Education,58.4066,98.7472,12.6627,5,3.9782
Education,93.8247,49.5438,8.3022,14,2.5966
Education,86.9,92.7739,29.6523,4,4.3835
Education,82.4789,31.2437,49.8001,4,3.7821
Education,64.5058,71.3085,24.0467,3,6.6241
Education,71.1887,94.095,37.1263,12,9.7183
Education,90.9004,50.5665,40.0255,17,5.3219
Education,81.5474,64.1425,41.6314,0,4.5326
Education,66.4119,100.0,36.1964,2,6.2508
Education,53.6551,24.2891,32.043,6,9.9425
Education,96.4795,36.519,28.2132,0,6.1308
Education,97.8029,77.8055,28.6964,20,1.1927
Education,84.8913,34.7654,20.6107,13,9.1072
Education,82.2232,51.0558,31.917,14,5.56
Education,77.2059,2.6462,29.0483,15,1.6568
Education,97.0104,53.6564,19.7477,4,2.305
Education,84.0381,62.6097,17.8164,2,1.1657
Education,53.789,11.0606,26.7733,16,9.6649
Education,53.344,26.2296,48.2751,4,0.8653
Education,99.8313,40.4867,17.3855,0,7.6365
Education,96.1379,79.2749,51.2316,12,3.3458
Education,76.6502,2.6708,42.0082,20,0.9683
Education,60.9342,33.4115,15.9928,17,4.1053
Education,78.8192,0.7338,0.0,0,0.0
Education,90.1075,52.7443,3.8288,18,8.1391
Education,51.8226,49.8173,53.0344,20,5.5694
Education,92.6415,74.3421,48.9498,5,4.5022
Education,73.7896,0.0,23.234,8,8.4951
Education,73.8295,72.1738,2.8957,13,5.1444
Education,71.3434,90.1679,46.8261,10,6.2761
Education,85.2686,32.7385,15.1592,3,8.1174
Education,59.8137,36.684,57.1095,6,7.3422
Education,80.2023,1.3314,31.2677,17,6.74
Education,50.8149,42.5286,43.1665,17,7.1312
Education,90.1278,62.2748,27.1977,5,2.6572
Education,91.3316,11.6326,2.758,4,1.1322
Education,66.687,64.3743,4.5966,5,6.3143
Education,55.722,31.7934,59.5463,1,2.4522
Education,88.7611,68.0761,26.495,1,0.7267
Education,72.0925,26.1072,11.5604,0,2.4145
Education,96.7729,80.0546,43.2821,17,7.0384
Education,66.7953,57.775,52.8113,9,6.8649
Education,92.4947,54.0138,16.8629,6,8.7862
Education,50.4527,46.3241,34.3597,1,6.8378
Education,88.07,81.7941,12.5266,18,4.5151
Education,84.7669,55.8688,48.6398,9,2.8572
Education,76.5571,17.7547,6.9804,11,7.5948
Education,94.6864,64.4977,20.1214,11,4.0515
Education,95.5927,50.5403,23.2062,14,8.5333
Education,95.6067,2.6925,38.873,17,8.4557
Education,79.8195,55.6955,10.5886,0,3.2496
Education,74.7569,4.0721,27.692,5,3.305
Education,63.6949,73.1539,31.8506,8,8.9527
Education,57.0063,64.9521,53.6804,5,4.1644
Education,77.6624,48.7282,31.2265,5,6.9089
Education,57.7511,75.8336,9.7666,5,4.0703
Education,58.1205,27.3547,6.6541,15,7.3206
Education,68.8983,48.4899,54.9745,14,1.7915
Education,59.706,1.1478,59.1372,7,8.5465
Education,74.1583,95.37,9.2098,1,10.0
Education,82.0562,0.5316,44.8606,10,7.6021
Education,86.4479,11.5132,12.9065,8,3.8134
Education,77.7378,50.757,49.5449,15,5.5941
Education,75.7339,38.8213,6.4504,1,6.7876
Education,74.0299,50.6122,26.025,10,1.6021
Education,61.9755,81.7309,36.8355,16,2.9645
Education,83.3639,19.2127,52.6692,5,7.8208
Education,83.0159,63.5841,52.265,5,9.7249
Education,60.7743,0.5647,13.4463,8,3.145
Education,86.1711,81.7742,59.2693,20,1.211
Education,94.2509,79.5042,38.3553,0,10.0
Education,79.2607,37.1062,39.2828,11,3.3054
Education,56.1877,19.8085,52.85,10,7.6785
Education,67.4482,83.7569,18.3669,16,3.4599
Education,58.0366,93.6252,25.311,6,8.8625
Education,65.6281,9.0091,58.6611,3,6.2273
Education,60.9469,62.0139,0.0,8,4.3985
Education,78.5924,95.6991,52.9872,18,1.669
Education,72.1364,65.0356,49.8526,14,2.3954
Education,86.6659,82.0555,13.9357,5,8.5746
Education,66.8631,22.3755,50.6415,3,0.5533
Education,57.913,7.7534,21.1976,4,1.7631
Education,62.0956,33.1904,36.3668,20,1.9256
Education,75.8204,41.4179,26.1692,12,0.9033
Education,73.1288,78.4201,5.114,4,6.7202
Education,51.0008,38.9148,52.9504,1,9.8541
Education,61.8168,27.723,30.2236,10,1.5289
Education,64.0368,91.0267,28.4065,17,7.9244
Education,87.2121,77.9514,52.3165,14,1.7483
Education,85.8364,67.869,21.577,16,10.0
Education,86.1619,20.6573,34.3891,16,5.3455
Education,92.308,19.7532,52.288,19,8.2386
Education,94.2586,51.634,20.8384,18,1.7654
Education,52.9254,53.6314,45.9923,19,8.4609
Education,75.0744,23.1111,30.954,15,0.9085
Education,56.719,13.0632,8.6707,10,0.0588
Education,66.5638,37.5893,2.588,16,7.049
Education,82.6462,46.3025,44.1571,7,1.1817
Education,80.0316,5.8351,15.0501,7,8.7131
Education,55.7914,56.5806,49.2702,11,6.0497
Education,87.5906,1.2293,10.506,14,3.0433
Education,88.7932,13.0116,32.8045,3,2.8566
Education,56.9734,20.1427,6.707,7,0.6761
Education,80.5556,72.6849,45.3798,14,6.8167
Education,95.7445,50.5257,46.1903,4,8.9248
Education,54.6604,84.2374,55.93,9,7.1087
Education,57.4324,23.7301,31.8265,20,6.318
Education,87.3711,21.1144,7.3725,19,1.0946
Education,65.9342,81.287,51.378,18,8.1221
Education,97.9532,42.3694,19.5582,14,9.9307
Education,81.6193,26.3321,53.8224,5,2.7902
Education,74.2884,40.856,57.0693,8,4.2828
Education,67.6115,41.277,8.6015,5,0.16
Education,61.9571,60.5821,5.6448,8,8.0525
Education,82.6322,3.4364,55.1665,7,0.3177
Education,78.747,27.4958,53.5441,15,5.1169
Education,68.3895,45.716,34.4282,9,5.758
Education,95.7446,53.5384,52.3744,8,0.7902
Education,88.7161,15.9684,54.7211,7,1.5841
Education,62.9067,19.7749,33.9142,13,7.6092
Education,97.1713,70.6572,41.1495,6,2.4025
Education,86.9877,79.2664,37.3753,10,7.2921
Education,94.6963,5.2911,10.6597,19,7.4926
Education,58.8442,100.0,25.6767,15,4.0161
Education,50.0,42.2468,39.8347,16,0.7438
Education,74.1913,60.3051,38.2055,7,0.0867
Education,73.1905,58.2432,13.1758,11,4.6439
Education,92.7751,37.1328,56.0071,16,0.815
Education,58.7175,53.5312,47.6138,14,7.1346
Education,51.0799,58.2326,3.6689,6,3.8373
Education,77.3126,75.5923,20.1496,18,6.7578
Education,58.6336,65.5883,58.7707,16,3.7991
Education,50.829,41.7316,24.9136,12,6.3528
Education,52.7995,17.6795,41.4891,7,8.1985
Education,56.9933,3.2179,5.6718,13,8.6585
Education,68.9514,66.2796,19.4495,7,0.0803
Education,93.7446,45.4956,52.5005,13,6.5306
Education,88.1949,95.2443,28.8497,4,5.6458
Education,77.4912,9.6735,48.8227,11,6.1593
Education,71.3722,7.4251,1.3336,19,0.5091
Education,72.0109,18.8946,41.1835,10,0.7941
Education,92.927,39.7676,17.9921,3,4.9657
Education,87.4061,18.1901,50.8267,19,0.3758
Education,58.1598,44.3751,55.2906,1,7.9107
Education,97.5389,35.3604,40.878,9,8.0125
Education,89.3382,100.0,8.4705,9,1.0701
Education,51.4825,93.5094,27.7868,6,4.5322
Education,75.0343,37.4212,26.4633,11,6.0482
Education,82.6508,81.8423,50.2441,15,8.5477
Education,53.8553,22.8684,27.7563,9,9.9931
Education,66.8387,7.1694,19.6225,7,0.0
Education,82.2118,2.6485,36.6843,7,4.7581
Education,91.0973,2.3241,39.4644,4,8.2136
Education,99.1703,71.8318,49.2608,3,7.7347
Education,56.703,35.4679,55.5391,20,5.3848
Education,80.2905,83.9141,54.9278,11,1.5644
Education,94.3129,88.2225,38.2227,10,5.5764
Education,86.254,31.7393,31.265,14,4.0784
Education,80.3193,30.3629,47.2988,12,4.0269
Education,62.4777,33.5135,19.4375,0,3.4409
Education,89.2162,46.3949,44.0561,4,1.6497
Education,76.989,0.0,30.4691,5,7.029
Education,54.8567,0.2664,6.298,12,6.9383
Education,95.9534,72.7464,46.3442,9,5.1645
Education,99.921,82.4635,39.8798,11,3.5686
Education,76.9689,15.907,4.9813,2,8.4376
Education,87.9347,59.9272,30.5003,10,1.6587
Education,81.2405,24.2876,28.2989,14,4.4254
Education,71.8606,73.4483,39.7475,16,6.4548
Education,70.7155,43.1906,41.3747,4,8.3459
Education,98.9355,80.8586,11.7181,4,6.5352
Education,68.8385,96.2944,1.6889,10,1.4244
Education,74.7181,55.366,47.7786,7,1.0477
Education,62.929,88.9332,60.0,10,0.2103
Education,62.624,3.4953,56.4977,19,5.3543
Education,68.4823,47.9483,30.8316,14,2.2052
Education,96.3184,50.1299,29.8081,8,1.4819
Education,69.5496,41.2493,55.6607,17,1.1519
Education,79.2462,31.3897,35.392,5,6.648
Education,77.3711,72.8378,16.0574,5,7.6195
Education,78.9107,55.6824,39.9896,10,8.7355
Education,90.1435,8.6321,30.7169,19,6.0943
Education,94.0617,92.6323,46.3703,2,3.7501
Education,60.4808,88.4588,46.1263,10,4.4968
Education,92.6605,37.8727,57.0021,2,6.6178
Education,76.645,25.7749,11.1249,17,7.1492
Education,97.5172,65.2596,32.3839,2,6.5127
Education,96.8496,5.1578,47.2363,19,9.8433
Education,68.4755,50.0352,27.7038,9,7.5584
Education,82.2505,70.1433,37.3843,3,7.3329
Education,91.9473,39.7843,48.4208,3,8.1641
Education,68.7433,96.2333,30.2007,0,4.7457
Education,51.5115,75.3582,26.088,16,2.5197
Education,67.8296,95.2163,10.402,5,8.0485
Education,67.3837,90.2253,50.7215,3,4.7108
Education,88.5642,11.9016,49.3108,8,6.1082
Education,64.9302,64.8,44.4065,9,4.1674
Education,95.9582,59.0318,23.797,4,4.2284
Education,76.7966,7.3283,33.569,7,6.7547
Education,81.2472,27.4427,7.4247,17,6.2244
Education,89.5127,55.6469,18.4655,7,3.1729
Education,56.8084,56.2314,25.8859,17,2.0206
Education,51.2202,79.3429,1.0347,6,1.4533
Education,51.7889,58.8812,7.791,7,1.0525
Education,50.0,45.6396,51.0849,6,7.9899
Education,86.0807,73.3888,59.8464,18,2.8691
Education,63.3433,57.6718,19.3665,10,6.8244
Education,94.2641,89.4537,6.0308,10,3.0269
Education,93.3252,92.0854,56.489,2,6.7352
Education,68.1734,56.8652,55.304,19,10.0
Education,59.7801,55.5476,41.072,12,0.8898
Education,74.8421,71.371,20.5366,9,6.5409
Education,90.4068,74.4929,6.8928,5,2.6322
Education,85.02,73.2219,57.3292,2,1.0348
Education,53.9163,64.2348,52.9913,9,0.9058
Education,50.6342,76.6731,46.3821,1,3.5187
Education,55.8685,15.4678,56.944,0,5.3605
Education,66.1828,80.4768,8.9418,11,6.2701
Education,77.5173,32.496,7.3216,3,5.288
Education,88.4209,85.9572,12.6425,19,8.7843
Education,56.8072,11.135,16.1155,10,1.1075
Education,57.9884,0.0,49.2047,0,8.3844
Education,93.4271,4.9227,56.6937,15,5.2923
Education,96.1054,20.3014,13.4635,5,8.4378
Education,75.7218,12.2725,26.8504,14,4.4121
Education,90.7411,56.5145,28.6644,9,4.5319
Education,67.3632,45.9016,11.1271,7,4.4717
Education,97.2903,58.5817,51.6829,16,0.8734
Education,96.5028,20.0015,31.6653,12,1.5365
Education,93.6893,73.4443,34.5592,8,4.9665
Education,50.4345,57.7602,16.5718,5,5.3565
Education,75.906,25.5174,33.0766,20,4.6565
Education,51.8062,39.3966,47.5186,16,0.0697
Education,85.1069,71.4256,19.6143,1,4.9632
Education,60.1582,70.1733,5.6828,17,1.4175
Education,81.0079,57.916,36.369,15,5.4858
Education,53.8112,96.7575,38.2089,5,2.4893
Education,86.9671,13.9018,13.4451,2,9.9016
Education,86.8708,50.0078,15.6058,2,3.8049
Education,50.0,59.9377,8.7183,13,7.8713
Education,90.0996,98.0668,54.8151,9,2.4724
Education,56.8926,53.7745,12.0176,9,1.8944
Education,54.6374,44.4701,0.0,1,2.3195
Education,75.5035,95.0295,50.6131,6,3.3499
Education,77.9577,49.4595,48.4942,13,8.3497
Education,56.9353,97.0628,28.2098,16,7.3163
Education,66.3482,76.1832,47.5653,16,4.3717
Education,71.7749,13.7685,27.7609,9,1.7455
Education,97.9496,17.5926,14.872,2,0.3151
Education,60.6934,34.8977,27.8985,16,6.2038
Education,64.1484,6.576,28.2357,12,6.8504
Education,83.697,52.9828,2.1853,15,6.0851
Education,86.0219,85.0405,7.3439,2,5.1193
Education,50.0894,41.1873,52.9443,14,9.4279
Education,57.4827,62.2734,23.2193,6,0.4396
Education,66.2995,100.0,21.4228,12,9.8778
Education,82.5197,21.8033,53.761,6,2.967
Education,56.0617,37.4127,7.8994,10,3.768
Education,68.0118,0.4066,11.077,13,7.8941
Education,54.2101,26.3561,49.8774,10,2.5646
Education,77.2026,80.7213,17.4977,18,7.0968
Education,69.7027,68.8164,37.3252,6,3.2936
Education,89.6538,79.294,44.0826,1,8.9226
Education,78.6436,42.8656,14.7424,2,1.6759
Education,83.2354,74.4139,14.9451,1,9.3724
Education,82.5434,61.2327,31.6983,20,7.9075
Education,80.3563,35.7332,47.0357,4,1.739
Education,52.0168,38.8439,34.7644,17,3.9734
Education,91.3266,54.9226,4.5612,15,0.9831
Education,94.6793,96.9935,21.3284,2,6.04
Education,76.1462,95.5552,21.625,14,9.4781
Education,55.8992,98.381,46.8648,20,0.5493
Education,83.1829,2.1487,18.2926,19,2.9139
Education,70.138,71.8215,52.3656,19,7.3143
Education,54.4872,90.4044,20.3983,12,4.5291
Education,92.4578,73.1375,11.8987,5,3.5393
Education,86.1174,43.2834,33.0031,15,5.96
Education,90.5713,73.6099,21.3084,10,3.0534
Education,89.855,41.8566,39.3347,13,3.5036
Education,69.5469,69.4213,56.6028,14,8.0756
Education,73.4837,78.012,55.9073,20,4.008
Education,62.2833,90.8347,13.0281,4,7.1166
Education,88.327,72.5801,9.3054,5,1.3394
Education,78.0153,14.2962,57.5878,14,3.71
Education,80.4372,92.5428,47.9669,18,5.9222
Education,69.0468,22.6825,15.4431,10,2.7602
Education,82.851,39.2853,49.4492,19,4.0427
Education,82.0298,41.9475,43.6635,5,8.0163
Education,87.5591,71.9527,16.5545,10,1.3177
Education,56.2925,69.3629,53.861,7,4.8324
Education,82.3698,97.7573,19.3172,11,2.5239
Education,95.5889,18.0916,30.024,16,4.2981
Education,54.0034,46.9387,37.7317,0,3.676
Education,97.8287,15.4071,11.1513,9,6.5326
Education,61.5198,68.8183,35.7584,13,7.4257
Education,98.4983,21.0685,44.2309,6,4.9637
Education,93.5516,88.085,5.9815,17,1.6109
Education,88.0707,98.3074,23.4288,8,8.3669
Education,59.0519,29.3491,37.7098,15,1.7983
Education,59.6236,74.3634,54.8456,9,5.6047
Education,64.5941,54.914,52.0202,11,5.5606
Education,89.3351,36.4606,11.0318,8,2.9204
Education,59.7762,16.2428,35.0616,13,9.8241
Education,78.8005,72.3672,4.8195,1,6.3846
Education,88.5315,16.9099,18.5421,9,4.4929
Education,71.4793,27.2512,36.4198,20,4.2903
Education,91.8154,85.9652,5.4103,9,0.7622
Education,79.7374,49.8648,52.8427,1,7.8693
Education,79.7447,82.8842,51.3199,5,0.7789
Education,84.4054,76.5568,27.4097,10,1.8054
Education,90.8289,35.1211,27.1817,8,2.214
Education,50.1192,19.2206,50.9043,2,0.7199
Education,69.4424,11.5389,3.2416,18,7.8918
Education,98.0277,96.3889,8.6415,10,9.2082
Education,55.3644,33.4557,19.4003,3,6.7357
