Application,Cell_Count,DNA_Concentration_ng_per_uL,Enzyme_Level_AU,Protein_Mass_mg,Growth_Rate_fold_per_day
Biology,105185,116.7373,4.8183,2.9043,0.5654
Biology,24049,147.9988,29.1551,3.5836,0.0402
Biology,99116,59.5468,37.1483,1.0555,0.1064
Biology,98379,38.843,40.9941,2.6953,1.895
Biology,69385,24.5609,20.3912,2.1438,0.726
Biology,127131,70.7417,12.7867,0.3822,0.8342
Biology,172230,117.3623,2.9914,4.0438,0.0557
Biology,197489,22.89,29.1122,1.7729,0.4832
Biology,24289,80.7485,23.0122,2.6239,1.6555
Biology,111226,11.0029,47.8486,2.598,1.2815
Biology,101793,165.3967,3.5601,2.5498,1.5311
Biology,10823,26.8549,34.0617,0.6567,0.8396
Biology,192232,63.8389,0.9523,2.2777,0.6215
Biology,42975,9.0377,8.503,2.1746,1.028
Biology,10540,82.7566,21.5962,3.5827,0.6304
Biology,17364,165.3286,23.515,4.2247,1.7267
Biology,136683,79.4169,33.5164,2.9025,0.6046
Biology,28663,45.8747,44.4618,0.449,1.3513
Biology,52991,157.159,31.9734,1.0642,0.2662
Biology,189751,163.9925,47.5515,0.7726,1.3802
Biology,105182,39.7881,44.3418,0.6521,1.8448
Biology,163049,158.8796,28.6995,1.8598,1.178
Biology,95704,185.274,41.3145,1.0844,1.135
Biology,50115,37.4702,32.8554,1.0369,1.8156
Biology,92007,157.1033,4.65,0.185,1.2346
Biology,192962,138.9794,37.6425,0.2121,0.5482
Biology,198459,98.1656,4.8698,0.4395,0.6364
Biology,150143,22.8724,29.9133,0.8229,1.4324
Biology,191347,21.7446,35.3917,2.1114,1.4182
Biology,12938,174.7993,2.765,2.3972,0.6551
Biology,167267,188.5145,13.0878,0.6254,0.6519
Biology,92680,142.9063,47.121,2.2522,2.0
Biology,5000,91.236,31.6468,1.5946,0.1689
Biology,102042,128.279,11.9647,0.8291,0.7845
Biology,94610,120.2261,35.103,0.01,0.0962
Biology,104691,74.0128,30.8556,2.3314,1.6495
Biology,39304,21.8841,23.9079,3.6196,0.186
Biology,70449,163.887,50.0,1.1259,1.3715
Biology,83986,74.6269,32.4684,0.6744,0.1217
Biology,152836,164.0078,19.5377,4.357,1.2886
Biology,109940,58.5995,41.474,1.3762,1.6986
Biology,39494,5.7134,44.1279,1.2485,0.7335
Biology,4373,30.4952,6.1983,4.3012,1.0139
Biology,144233,98.1786,10.7739,4.3001,0.7946
Biology,98532,185.5162,12.7379,2.3729,0.5907
Biology,93658,16.519,34.311,2.4427,1.5429
Biology,124633,177.4053,29.4123,1.086,0.6059
Biology,101386,109.5529,30.5648,0.5635,1.5142
Biology,28350,165.7493,45.4952,2.8851,0.5099
Biology,94008,61.8351,39.7139,0.6414,0.5529
Biology,95297,174.2383,5.971,2.4518,0.6638
Biology,26351,167.7403,17.2327,4.6827,1.166
Biology,89668,51.6107,22.7339,4.7998,0.8957
Biology,115585,26.5948,19.4823,1.3021,1.5719
Biology,147377,173.6682,34.2561,3.2009,0.4304
Biology,76353,194.5104,43.5695,2.4515,0.0818
Biology,66953,5.0,16.3288,4.2466,1.6028
Biology,58458,148.9022,27.9799,1.2798,1.6526
Biology,21358,184.0593,39.4031,0.01,0.0706
Biology,4267,177.358,20.9999,0.9424,1.222
Biology,83745,197.8478,7.2049,1.6308,0.7685
Biology,90588,153.6519,23.9078,1.7375,1.6407
Biology,39513,97.1553,2.7142,4.0367,1.7509
Biology,158164,73.7698,45.868,3.5212,1.6554
Biology,12338,67.6538,3.1638,1.412,1.596
Biology,132484,147.8934,21.85,2.3014,0.5364
Biology,8543,143.5458,25.935,0.5167,1.5244
Biology,106891,38.4112,46.8594,4.5172,1.0846
Biology,165568,171.015,9.4587,4.7073,0.1349
Biology,61692,142.6801,5.6683,4.8716,0.8858
Biology,45425,110.4614,0.1,4.3576,1.8773
Biology,39756,96.8084,9.9937,0.9812,1.803
Biology,19888,109.3169,11.6818,0.1241,0.2267
Biology,167807,40.2294,31.2177,3.0566,1.4286
Biology,48295,42.8701,10.2226,4.6619,1.6634
Biology,115352,13.8589,1.5264,0.7987,0.618
Biology,84042,35.4537,41.5502,0.0835,0.9282
Biology,86999,93.4149,18.8842,4.1194,1.3489
Biology,18955,105.0571,16.9115,0.2699,0.9144
Biology,38841,8.8536,16.2893,2.0786,0.2077
Biology,71640,156.182,48.2986,3.3898,1.436
Biology,197582,63.6491,9.2682,1.1272,1.9118
Biology,166983,193.0764,44.1267,0.4382,1.2469
Biology,191103,186.6228,41.5053,3.7925,1.5182
Biology,139429,39.1511,4.6105,3.2917,0.7154
Biology,164551,92.4706,50.0,4.88,0.426
Biology,62476,5.0,14.4671,1.8071,1.4306
Biology,45811,125.6515,4.4589,0.153,0.6721
Biology,168280,125.5418,42.3105,3.6583,1.6566
Biology,152222,56.5805,36.2619,2.6147,0.2403
Biology,72180,114.0094,31.2718,1.0545,0.8418
Biology,175358,43.8241,8.5126,3.8713,0.8282
Biology,113856,32.0137,24.7372,0.9601,1.8917
Biology,69450,134.9567,38.0581,1.386,0.2733
Biology,153424,69.2217,14.1881,0.5715,0.01
Biology,187141,125.0163,14.8607,1.995,0.4695
Biology,112888,90.6268,0.384,1.991,1.6328
Biology,111448,192.3348,8.572,2.7567,0.4249
Biology,15397,32.1328,42.8091,3.4599,0.4913
Biology,173627,97.7995,22.9169,4.3858,0.3176
Biology,179031,140.4593,49.4958,0.4964,1.4179
Biology,132800,85.4662,20.0144,0.2911,0.126
Biology,182589,190.9772,35.5303,0.0808,0.6158
Biology,120180,141.0841,13.7903,0.8296,0.5633
Biology,67234,132.3716,17.4145,3.3542,1.125
Biology,40954,158.2428,10.5491,3.6691,1.3949
Biology,179352,188.0604,16.7163,3.9076,1.0568
Biology,80459,183.799,27.6161,1.3369,1.9089
Biology,148851,148.0104,50.0,1.7228,1.9292
Biology,196004,154.0535,32.9121,2.5215,0.7442
Biology,156538,39.9461,11.0012,0.279,1.5823
Biology,169011,31.136,2.9111,3.1376,1.4574
Biology,167342,114.0074,6.716,4.8787,1.7589
Biology,60163,5.0,28.601,1.7001,0.952
Biology,52934,96.4132,38.1868,3.677,1.0986
Biology,196967,46.3133,47.0616,2.4694,0.8077
Biology,164379,71.0628,0.3426,0.6582,1.6275
Biology,55098,163.9567,26.2271,3.121,0.4382
Biology,192993,188.6146,23.0122,1.4184,0.5087
Biology,6486,21.6706,33.8408,0.3138,0.7253
Biology,140407,110.0244,26.3269,3.1466,0.4815
Biology,87900,175.7422,34.8633,4.0948,1.1829
Biology,127020,13.5824,33.2742,1.6799,0.2739
Biology,103795,165.4736,6.1844,2.075,0.6565
Biology,143202,87.4644,41.0284,4.4906,1.855
Biology,88508,62.9551,5.9638,4.1103,0.7813
Biology,119324,188.5279,35.2116,3.7102,1.4682
Biology,61566,51.7194,19.1525,1.1481,0.2647
Biology,198775,143.0669,25.3267,4.447,0.5041
Biology,28192,165.9119,46.0286,0.5546,1.6215
Biology,2062,18.3452,43.1687,3.2251,1.5297
Biology,85076,132.4823,41.0705,0.2099,0.8174
Biology,90780,190.1365,24.8802,3.2944,1.9266
Biology,153617,32.948,36.7276,1.2749,1.84
Biology,22689,187.9935,25.0771,2.0938,1.9736
Biology,12174,116.4241,42.2486,1.6012,0.9255
Biology,89461,130.2328,20.5837,0.78,0.4923
Biology,127174,126.0133,48.4652,3.2688,1.234
Biology,104033,63.9089,47.2343,4.5109,1.471
Biology,10348,187.3342,37.8988,4.7501,0.216
Biology,155786,184.3332,15.2657,0.9997,1.6521
Biology,39102,130.6905,6.8027,3.522,0.0207
Biology,75460,154.7166,44.0158,3.3614,0.9679
Biology,103634,120.1795,7.3748,1.6099,0.6695
Biology,90930,102.911,43.6348,0.1802,1.4487
Biology,7801,136.9375,25.0476,3.3673,0.6358
Biology,104150,113.1434,20.6198,4.8084,1.6229
Biology,180208,125.718,45.6131,3.1216,1.1448
Biology,155697,163.4085,29.2733,2.1033,1.5883
Biology,176333,103.8783,27.6787,2.7915,2.0
Biology,2542,10.8868,29.6888,1.0238,1.3514
Biology,22677,40.9349,18.453,3.7231,2.0
Biology,178804,91.3538,39.121,3.8103,0.0337
Biology,182415,153.0722,11.6145,0.6024,0.6318
Biology,40081,120.2068,45.472,4.5016,0.2427
Biology,194928,130.4171,44.6217,1.3393,0.6019
Biology,94105,96.0656,16.5994,4.9714,1.6877
Biology,20065,125.8079,36.502,1.7662,0.1072
Biology,89092,70.9786,28.7908,0.8595,1.1047
Biology,55693,98.5809,19.4332,1.7655,1.1371
Biology,27962,151.4962,49.0893,2.3093,1.1206
Biology,29295,177.6244,2.9361,0.4238,0.9746
Biology,14807,88.6949,14.3458,2.8561,1.6092
Biology,174420,10.1112,26.8038,3.0239,0.2201
Biology,158504,32.7828,25.9108,3.8227,0.6398
Biology,189926,12.8706,28.129,0.1356,1.2353
Biology,172334,134.2205,38.0856,2.68,1.3536
Biology,169152,62.5636,32.2283,0.0854,0.8115
Biology,133396,115.0607,31.7982,3.4809,1.7056
Biology,92267,108.5227,1.8223,0.1145,0.7767
Biology,167981,18.1056,18.6458,4.5481,0.8142
Biology,20870,84.947,10.7376,3.612,0.118
Biology,166650,46.1629,12.7098,2.3303,1.0929
Biology,27790,89.0384,28.4245,2.3363,1.382
Biology,119874,40.1503,9.3774,0.6291,0.2057
Biology,26289,168.6096,13.9454,1.4594,0.6397
Biology,187201,42.7948,12.7259,4.296,1.6311
Biology,16485,197.1715,47.8801,4.3522,0.7688
Biology,45482,87.7653,47.5881,0.01,0.5426
Biology,87188,168.6956,29.8845,3.1841,1.306
Biology,5748,121.398,47.5241,3.4899,0.3986
Biology,141507,145.4389,39.3265,2.939,1.8329
Biology,4709,152.876,31.9138,0.4317,0.1645
Biology,124961,100.7236,0.582,1.0879,1.3898
Biology,31355,111.1759,36.3199,1.2269,1.0416
Biology,187843,103.8958,32.781,4.1617,1.7514
Biology,189871,120.3427,31.4239,2.3857,0.2227
Biology,145188,15.4222,39.3431,2.3807,1.2941
Biology,157542,80.5403,24.9126,4.6945,1.2016
Biology,174416,117.8136,37.3305,3.2912,0.8837
Biology,43918,118.8194,48.4248,4.395,1.0131
Biology,53224,161.9024,19.0628,2.0562,1.4255
Biology,40298,135.3708,35.9737,0.8226,1.9178
Biology,81219,200.0,24.7296,4.9002,0.1501
Biology,62629,65.4245,35.6388,2.2982,0.1529
Biology,67040,74.3076,38.8491,0.9365,1.6294
Biology,29016,87.8536,2.5556,1.4894,0.2478
Biology,24960,99.0244,33.0363,0.422,1.9428
Biology,34591,158.178,11.9507,2.3391,1.2372
Biology,104333,58.002,34.4572,4.2485,1.3009
Biology,115821,153.3288,21.9028,4.7595,0.4773
Biology,199713,80.0025,39.0155,4.6154,0.5042
Biology,37395,124.4045,6.7172,0.5067,1.3438
Biology,130695,121.5665,31.2808,2.0045,1.8416
Biology,154772,74.9932,14.7783,0.0918,1.99
Biology,35620,111.0326,44.5811,4.1799,0.3488
Biology,129148,87.7103,46.5643,2.0098,0.3585
Biology,21559,21.6486,50.0,3.1415,0.0873
Biology,94396,87.6853,41.4238,3.6267,1.7364
Biology,193714,17.9921,37.8726,2.1579,0.6574
Biology,22732,86.7356,9.9668,1.4507,0.0906
Biology,92362,124.2471,17.4813,4.8802,0.4875
Biology,162426,121.4374,21.1403,4.8542,0.6674
Biology,14843,135.0265,36.3979,1.3885,1.9871
Biology,115065,19.8044,46.0891,2.4466,1.0585
Biology,72726,141.6713,7.1978,4.8132,0.4254
Biology,18640,67.74,44.8136,0.01,0.6273
Biology,53528,82.1358,34.4323,1.9489,0.7175
Biology,39413,171.6465,29.8575,0.5382,0.0546
Biology,53638,7.3444,9.9246,2.5125,0.2503
Biology,184808,123.9119,3.9813,0.283,1.3736
Biology,111133,122.4888,28.7044,2.0361,0.26
Biology,107357,85.6969,31.773,1.0329,0.4133
Biology,151159,51.8109,11.9697,2.687,0.7429
Biology,173502,50.3233,26.4412,4.8508,1.5272
Biology,156576,179.8243,43.0605,3.9963,1.2313
Biology,139186,93.5476,40.2328,4.2616,1.3842
Biology,79859,68.8619,46.6268,3.1995,1.0952
Biology,100657,89.5897,18.0397,0.3474,1.3227
Biology,143047,136.8639,17.0507,1.3012,0.01
Biology,12023,33.7281,38.2156,4.6931,1.8511
Biology,22447,90.4756,21.0265,1.9545,0.2082
Biology,126899,116.3521,3.6913,0.781,0.8235
Biology,24959,191.5746,13.8973,3.4146,1.5208
Biology,67203,56.3883,22.8591,1.5173,0.8862
Biology,120156,73.6498,16.3124,1.3039,1.8735
Biology,161775,76.7132,15.7107,5.0,0.9656
Biology,10337,119.8419,15.558,4.3192,1.7388
Biology,47427,76.0535,0.4428,1.9639,1.6731
Biology,62529,105.8993,31.4446,4.9026,1.9881
Biology,103023,166.1895,28.9792,3.3585,1.8615
Biology,85665,140.9501,33.771,3.5826,1.789
Biology,106787,82.5836,8.4081,0.0877,1.4054
Biology,163993,173.4045,15.2817,0.5223,0.7966
Biology,34307,113.5525,31.0195,3.2017,0.1941
Biology,159427,114.6173,29.8463,4.6199,1.384
Biology,128016,12.7903,27.0341,2.9219,1.9712
Biology,5835,194.1532,19.3418,0.6882,1.4486
Biology,21159,27.8624,45.5112,0.4954,1.9121
Biology,179677,51.3475,16.7093,4.3228,1.562
Biology,122790,6.6385,21.3315,0.6815,0.4036
Biology,106616,135.0212,33.9336,2.619,0.5326
Biology,170160,45.5752,29.1462,0.1951,0.6805
Biology,79752,45.6285,17.2811,0.5247,0.3355
Biology,56284,23.799,22.566,3.5695,1.0793
Biology,58043,27.6007,38.3499,3.3358,1.9174
Biology,167619,123.4935,13.5447,1.6189,1.5112
Biology,98007,141.4357,7.6601,1.118,0.8595
Biology,83844,85.1132,15.8325,3.9889,0.0691
Biology,28532,97.9387,43.3148,1.1865,0.7145
Biology,166421,140.2152,3.9391,2.8239,1.0691
Biology,123402,6.0978,47.8391,4.7868,0.6634
Biology,119012,66.6712,28.2159,0.6716,0.2114
Biology,177517,200.0,48.3095,4.6775,0.8228
Biology,137785,114.9699,47.4615,0.933,0.4899
Biology,57178,55.1756,23.1454,2.873,1.8112
Biology,50407,107.1799,8.3443,1.6664,0.2513
Biology,51990,70.6055,9.3748,4.7284,0.1285
Biology,130473,110.7939,11.51,1.3346,0.0294
Biology,197617,31.8195,35.5906,1.9248,0.6397
Biology,59141,27.2687,13.3627,4.6286,1.2453
Biology,155865,33.3861,18.7565,2.4985,1.387
Biology,57570,184.0436,23.8349,2.3878,0.8458
Biology,169964,150.9906,43.8616,1.2848,1.3602
Biology,2015,37.3528,11.805,3.4663,0.7658
Biology,62813,42.0492,0.1,0.0187,1.3774
Biology,28712,150.082,5.197,0.3366,0.1224
Biology,101497,34.3775,44.9921,3.0803,0.7671
Biology,140487,54.3041,32.0708,1.7299,1.6293
Biology,113816,189.1537,13.4779,4.779,1.5709
Biology,129778,60.2911,8.5419,4.4314,1.4691
Biology,63292,131.8698,17.3033,3.4978,0.3498
Biology,24833,189.218,5.7522,3.9221,0.4551
Biology,136230,76.7066,46.7808,3.315,2.0
Biology,194752,6.6919,39.3087,0.7151,0.2076
Biology,21309,51.298,22.2079,3.9652,0.3424
Biology,7970,167.9245,44.8556,1.0344,0.3126
Biology,73474,177.8803,11.0798,1.673,0.7105
Biology,47540,154.1136,35.2715,3.813,0.411
Biology,152456,24.3591,43.7558,2.6441,1.0115
Biology,19017,155.731,17.945,4.2556,0.9627
Biology,76880,182.3163,38.4456,1.2219,1.6915
Biology,106570,114.7563,16.3542,3.082,0.0236
Biology,9702,185.6427,16.0148,0.4774,0.6841
Biology,132456,171.0854,5.5794,3.263,1.1642
Biology,1404,131.8483,24.1441,3.8196,1.2346
Biology,173015,120.0031,35.8855,3.0817,0.9759
Biology,179998,68.1886,46.9169,1.1084,1.6815
Biology,161261,42.9683,30.1991,0.181,0.0805
Biology,13763,130.1327,43.0682,0.7188,1.6485
Biology,150456,69.3367,40.0754,2.9265,0.992
Biology,192172,181.7214,7.1693,4.7564,0.2448
Biology,99142,200.0,24.7587,0.9646,1.7408
Biology,141932,154.7206,5.3023,3.6887,1.311
Biology,81642,27.5655,36.0434,4.2557,0.3605
Biology,51612,61.9946,47.4276,2.7049,0.0795
Biology,24574,20.2221,6.6898,3.3209,0.2946
Biology,24524,134.9267,37.8129,4.1613,1.2017
Biology,11916,152.372,32.0501,1.3542,0.3496
Biology,5809,183.9562,29.0467,1.4123,0.4277
Biology,164273,91.6054,18.9275,0.0632,0.0394
Biology,185402,182.9767,21.4715,4.7496,1.4723
Biology,145528,176.7743,2.719,4.5949,1.6507
Biology,188469,69.3325,12.0559,3.7946,1.5449
Biology,122288,171.6789,0.1,0.4944,0.2282
Biology,39765,78.0895,28.5359,2.297,1.7793
Biology,166888,66.2009,7.4902,0.5154,1.3453
Biology,46106,138.4834,45.0578,0.021,1.7291
Biology,54932,77.3274,26.6615,2.9581,0.8649
Biology,149172,129.5793,34.6337,4.8181,0.8244
Biology,58091,127.1932,20.3682,4.4522,1.5872
Biology,22949,122.5987,27.3982,3.2994,0.1945
Biology,38744,76.5656,45.9842,0.3595,1.0281
Biology,177615,114.4133,5.1504,1.5403,1.6321
Biology,109319,124.3112,13.3092,1.5412,1.6443
Biology,93193,117.0556,39.756,3.9261,1.8902
Biology,37187,87.2269,4.6908,3.9776,1.4646
Biology,139311,5.0,4.1306,2.0554,0.4631
Biology,125454,119.5604,17.7097,2.2117,0.0229
Biology,15489,39.3198,3.9733,0.1497,0.9706
Biology,190089,134.6815,30.9591,1.2544,1.0699
Biology,62877,155.0906,11.5124,2.072,0.4606
Biology,175197,101.9963,45.3018,0.513,0.2017
Biology,50922,112.3851,40.0307,2.4604,1.105
Biology,95074,191.7124,35.1491,4.2264,1.5815
Biology,164121,177.0032,31.1257,2.9253,1.9788
Biology,38131,183.9222,42.1025,0.5339,1.5306
Biology,175016,162.1904,10.3365,0.9774,1.5665
Biology,116765,27.9926,42.7222,2.3856,1.1863
Biology,74963,34.8275,40.0999,1.876,1.929
Biology,107884,101.5648,37.504,1.8289,1.2301
Biology,126917,52.9225,27.2124,2.6411,1.7557
Biology,25285,97.5627,12.9665,2.8541,1.9515
Biology,38626,79.7801,21.7774,3.9942,1.8619
Biology,174880,116.1746,39.0056,1.8206,0.7086
Biology,185943,147.5766,1.658,4.2071,0.1863
Biology,20198,146.2976,39.6704,1.7288,0.4024
Biology,151830,106.064,11.2229,0.362,0.1665
Biology,16254,165.7867,7.8661,2.8023,0.2186
Biology,45238,90.6241,6.1739,2.9349,0.3681
Biology,2252,174.7597,0.4626,4.7247,0.6873
Biology,40764,19.6471,26.4463,3.7517,1.1404
Biology,78709,200.0,11.3561,4.5012,1.4565
Biology,169513,126.5938,48.8479,4.3978,0.4144
Biology,54682,78.8899,28.2182,2.9736,1.332
Biology,60494,47.8257,5.9741,2.6647,1.3923
Biology,82317,99.617,34.0211,2.8784,1.0793
Biology,66215,45.6219,44.8853,4.7931,1.862
Biology,79587,28.1696,36.741,3.6197,0.1995
Biology,7949,127.7168,2.4324,0.4894,0.382
Biology,56393,104.0309,44.1174,3.875,0.8367
Biology,139013,136.8772,39.3006,0.745,0.2432
Biology,26934,186.1584,8.8146,2.1668,1.1324
Biology,155458,117.6762,3.2777,1.1467,0.8245
Biology,193958,120.4139,28.7443,3.4588,0.566
Biology,76745,22.0379,7.1486,4.4223,0.3029
Biology,95456,139.0512,41.8874,1.4234,0.6781
Biology,54413,83.454,15.5627,0.344,1.1893
Biology,188872,198.672,46.0814,1.4633,1.2173
Biology,98239,165.2048,28.9375,3.4149,0.3253
Biology,43318,104.9117,8.8644,1.5017,0.232
Biology,71390,26.7953,7.3608,1.5625,0.1417
Biology,184401,174.6731,27.3541,0.9877,0.0641
Biology,44088,163.9189,37.3185,2.4391,1.7251
Biology,104196,46.3028,39.8611,1.4682,0.0682
Biology,171883,58.6988,14.3705,3.7797,1.484
Biology,56479,161.7657,9.8809,0.3594,1.747
Biology,20963,40.6449,1.7459,3.3019,0.2406
Biology,56123,183.602,34.1301,1.3445,0.8519
Biology,126911,89.35,3.4175,2.663,1.9529
Biology,103468,23.5625,20.9135,1.4405,1.5809
Biology,74477,166.1332,29.6694,3.501,0.9784
Biology,15388,73.7103,45.6803,4.6801,1.503
Biology,6569,104.7431,16.9131,4.6893,1.6503
Biology,70836,32.6942,11.9967,2.8185,0.6985
Biology,105573,5.0,31.9119,2.2976,1.8307
Biology,168658,130.6006,29.4737,4.1225,0.9003
Biology,144087,109.5724,14.0416,3.3277,0.9733
Biology,46002,122.5474,47.1124,1.0354,1.9581
Biology,138326,161.9115,43.0507,4.1756,1.7289
Biology,149216,134.577,12.4674,2.3507,0.6645
Biology,156286,30.8258,11.8845,1.031,0.01
Biology,138162,73.4398,25.3424,1.3203,1.2895
Biology,143709,183.4763,38.1945,1.3979,1.4085
Biology,154487,160.551,1.8819,2.6994,1.35
Biology,25071,113.802,35.815,1.2832,1.8551
Biology,59243,51.5564,32.4205,0.5491,1.7145
Biology,126827,60.7113,12.0282,0.5378,0.9564
Biology,109215,151.1789,33.6584,2.8068,0.0902
Biology,173312,170.1297,48.3333,3.8366,0.9985
Biology,102570,135.8997,0.5337,1.6766,1.3722
Biology,165506,165.257,14.8326,0.1009,1.2366
Biology,70724,143.182,22.344,0.6575,1.1312
Biology,116359,41.9937,46.7202,4.562,0.9601
Biology,76697,84.8181,47.8922,2.3757,0.5711
Biology,29732,35.7754,21.4207,2.2769,0.5843
Biology,122465,44.2226,38.5251,0.2189,0.9791
Biology,143386,172.8577,26.9529,3.8386,0.3405
Biology,156026,102.0682,28.223,2.5796,0.6381
Biology,58108,101.9218,12.6894,0.8478,0.6559
Biology,112195,44.1891,12.1354,0.4546,1.2257
Biology,104081,64.8256,12.9261,1.834,0.1308
Biology,37668,51.7979,27.5732,4.1448,1.7046
Biology,24061,47.7706,1.9668,4.2234,1.2523
Biology,80252,131.1239,45.5574,3.1003,1.3438
Biology,40749,51.719,8.957,3.529,1.4336
Biology,131560,126.8213,9.2594,0.5866,0.609
Biology,105680,10.6986,26.1027,3.1444,0.955
Biology,148979,34.564,36.732,3.3934,1.9443
Biology,150849,65.1734,4.9361,1.0565,1.5259
Biology,52745,114.3088,14.8129,4.5873,1.913
Biology,109464,133.8186,49.4424,1.1073,1.4343
Biology,92865,90.6209,12.5439,1.6307,0.3458
Biology,113428,92.6053,14.8985,3.0756,0.1743
Biology,24624,149.7096,40.893,3.1931,1.1221
Biology,24321,7.4915,2.4074,3.4928,0.7319
Biology,142560,70.2803,23.4669,0.5289,0.5533
Biology,23574,168.9501,17.7763,4.27,1.5916
Biology,137312,125.2096,14.8362,2.7039,0.6666
Biology,175293,72.8613,13.6633,2.2377,0.6951
Biology,142550,182.0161,3.7065,5.0,1.7221
Biology,187717,159.4957,15.8465,3.7454,1.8002
Biology,151334,54.095,2.6088,0.5726,0.7621
Biology,119831,127.74,39.2935,3.8072,1.72
Biology,184868,124.0812,20.1964,0.5781,1.6334
Biology,136504,76.894,23.9185,0.01,0.7833
Biology,96257,76.9159,45.1132,2.0136,0.144
Biology,65291,70.7597,33.7193,4.8496,0.01
Biology,191471,119.8629,0.1,1.1478,1.0242
Biology,128600,87.638,48.1065,3.3803,0.7953
Biology,51428,166.7883,11.4721,0.7577,2.0
Biology,132374,139.605,5.8806,3.9859,1.5099
Biology,132127,16.0901,37.061,2.4782,1.4308
Biology,112317,134.565,25.2397,3.3822,1.8703
Biology,140789,58.1201,20.7717,1.0087,1.7544
Biology,128449,125.7088,13.4844,3.6461,0.6304
Biology,29699,135.2682,28.293,5.0,0.2894
Biology,74686,49.8213,13.3261,3.111,1.5393
Biology,68661,95.5245,47.1345,2.5808,0.7344
Biology,45247,41.4133,10.5534,4.5041,0.9774
Biology,148820,18.9229,42.6205,0.0477,1.2666
Biology,106113,70.1934,27.2368,3.7273,1.854
Biology,5621,85.2215,40.3995,4.4244,0.8345
Biology,147106,200.0,36.0499,0.3014,1.532
Biology,137198,91.3619,33.6322,2.1548,0.5202
Biology,137194,67.892,15.7467,1.2407,1.3757
Biology,19030,114.8136,12.0854,2.89,0.0953
Biology,83838,24.8275,10.7616,3.1432,1.7473
Biology,85717,196.4052,42.8612,1.5379,0.0706
Biology,187730,128.1834,41.165,2.1902,1.4635
Biology,39638,156.5106,21.7149,1.5758,0.1021
Biology,68067,34.7049,5.1064,1.8732,0.5845
Biology,119033,80.6213,18.7783,0.7087,0.9846
Biology,106977,94.4964,31.4731,4.4986,0.8268
Biology,89869,167.5576,22.6381,0.0322,0.3527
Biology,106186,10.6889,39.4221,4.2847,0.7479
Biology,35674,60.336,49.2958,2.9007,1.4554
Biology,167926,192.7393,10.6298,1.7002,1.2951
Biology,47271,96.2043,20.4854,3.7316,0.1607
Biology,74688,76.3788,21.7473,2.5501,1.4713
Biology,170590,31.1176,16.6404,2.5112,0.1001
Biology,112076,192.0327,11.4797,0.5756,1.1028
Biology,142339,5.0,3.1467,2.1129,0.5881
Biology,2062,149.304,43.0437,1.182,1.1835
Biology,51448,149.846,22.4142,0.1352,0.5017
Biology,96462,45.4952,24.8433,1.8684,1.95
Biology,138301,136.4736,45.6968,0.4931,0.6525
Biology,188865,16.2992,37.9458,1.2569,0.4136
