Application,Soil_pH,Moisture_pct,Nitrogen_mg_per_kg,Yield_ton_per_ha,Pesticide_Use_kg_per_ha
Agriculture,6.5793,0.6961,73.9574,7.9559,0.27
Agriculture,6.7987,55.4751,150.0134,7.2198,2.8321
Agriculture,8.6557,57.7549,113.1641,0.9015,4.8849
Agriculture,7.3877,20.9654,79.0333,6.3636,4.2339
Agriculture,8.1389,0.0,63.413,9.5787,3.3246
Agriculture,7.7023,33.6873,181.6909,9.5102,4.3163
Agriculture,5.0572,55.0685,4.0335,6.2137,3.281
Agriculture,4.6051,7.6158,146.8089,12.0,0.2957
Agriculture,5.0509,34.1077,78.7872,9.8605,1.801
Agriculture,4.4906,44.6115,70.8594,8.9733,2.1669
Agriculture,5.4901,7.9457,131.484,6.4974,2.8311
Agriculture,7.0849,30.5887,163.3145,7.5473,1.0764
Agriculture,6.3939,3.8187,142.2489,3.0459,4.5396
Agriculture,7.2006,32.0214,135.7244,6.8338,1.1065
Agriculture,5.4319,31.4463,101.3213,6.5873,3.1743
Agriculture,4.5336,14.4981,97.4162,2.619,4.4834
Agriculture,4.6459,48.6562,97.3555,11.1692,3.7099
Agriculture,6.6766,22.4448,28.3846,2.966,0.7772
Agriculture,4.5007,41.7604,115.474,1.3441,4.7721
Agriculture,5.7167,46.3407,66.3059,5.7791,0.2413
Agriculture,4.5539,9.7316,127.0199,8.4203,0.9165
Agriculture,7.0226,7.0042,100.9353,2.9547,0.7079
Agriculture,6.9708,0.9075,189.0227,1.8685,3.3287
Agriculture,5.5188,16.6685,85.8252,3.2736,4.2173
Agriculture,4.3782,48.4826,138.0941,4.2228,1.1102
Agriculture,4.4314,46.3639,118.9897,2.7798,4.983
Agriculture,5.9814,52.0216,135.2874,5.5879,0.7547
Agriculture,8.8042,44.812,52.1514,0.5256,1.3387
Agriculture,4.9858,0.2094,49.9765,1.438,2.4497
Agriculture,4.6245,25.2068,112.566,8.48,4.0554
Agriculture,4.6915,0.0,171.1003,5.4308,2.0141
Agriculture,7.3594,3.3935,143.1949,4.5881,0.7275
Agriculture,8.4567,27.3425,96.4924,0.2,2.402
Agriculture,3.8264,21.8888,47.1985,3.9912,2.4221
Agriculture,7.5427,33.6053,157.6392,10.1316,0.2125
Agriculture,6.2118,2.7223,184.1478,4.2159,0.0413
Agriculture,7.8355,35.0673,43.5631,11.4633,1.4653
Agriculture,5.8773,3.4236,161.4836,4.5258,3.595
Agriculture,3.5363,25.4543,35.5831,5.5801,2.0362
Agriculture,7.2425,22.6798,178.3153,9.9057,1.0136
Agriculture,8.069,15.1444,130.7885,11.3943,0.4162
Agriculture,8.5266,17.7975,41.9257,4.388,1.3157
Agriculture,6.6438,0.4464,9.9505,1.6837,2.5041
Agriculture,4.2432,20.668,140.6588,6.5396,0.4635
Agriculture,5.4656,4.1848,123.8138,7.3409,0.1756
Agriculture,7.8787,55.9977,122.5273,11.3371,0.7946
Agriculture,6.3096,7.3162,95.3478,5.0599,3.7871
Agriculture,7.0767,55.8181,130.546,1.163,2.4249
Agriculture,3.7205,30.06,180.7776,7.9443,2.1262
Agriculture,3.9383,29.581,188.4763,0.5858,0.0222
Agriculture,7.3136,46.5374,73.4404,5.1791,3.4364
Agriculture,5.2152,41.152,99.4399,5.0611,1.0126
Agriculture,5.62,14.7551,55.1251,3.2069,0.6469
Agriculture,6.9859,3.9594,88.3484,11.2076,4.185
Agriculture,4.1491,45.9905,159.6448,5.2656,2.6037
Agriculture,8.3834,8.995,86.017,11.002,3.5846
Agriculture,4.2833,34.82,80.2839,5.8534,4.0642
Agriculture,7.4626,56.0306,165.0842,10.3795,4.7308
Agriculture,5.2578,34.5419,1.3473,5.6234,3.1625
Agriculture,4.7003,18.2826,164.9001,12.0,0.3776
Agriculture,8.0049,10.2339,38.6237,7.6339,2.6225
Agriculture,6.4672,0.8903,57.0754,2.0695,2.4645
Agriculture,4.6994,37.957,77.0236,0.4048,0.4035
Agriculture,3.529,32.6951,178.6335,11.5909,1.6279
Agriculture,8.7307,27.1277,192.0425,8.0458,1.9771
Agriculture,5.9438,11.1445,126.5869,1.7194,0.7305
Agriculture,5.5956,13.984,87.8121,8.8738,0.0318
Agriculture,3.7715,56.8118,107.4224,3.2155,3.6971
Agriculture,8.3722,0.0,120.6504,9.4062,4.2987
Agriculture,4.3628,23.6686,188.5043,7.3791,1.1253
Agriculture,5.2945,3.3139,198.5784,1.1704,0.1163
Agriculture,5.476,11.3894,163.6118,0.8817,4.4249
Agriculture,7.8329,55.1019,113.5249,5.5874,0.7587
Agriculture,5.484,10.4174,79.7928,11.3581,1.9643
Agriculture,6.3505,36.6082,47.1768,6.4923,1.7802
Agriculture,5.9892,20.0383,111.909,9.5485,0.8165
Agriculture,5.1029,38.5919,72.6945,6.1717,2.8389
Agriculture,8.7681,51.2254,12.798,4.7686,4.5853
Agriculture,7.9717,17.3538,100.2779,9.5902,2.6783
Agriculture,4.4783,5.7518,116.4204,5.3328,4.75
Agriculture,6.5959,12.852,125.574,1.8932,1.0534
Agriculture,7.8663,27.3701,17.97,3.2524,4.2501
Agriculture,6.7192,33.1032,95.6513,7.1257,1.3024
Agriculture,6.1623,57.214,135.1388,4.8702,1.2934
Agriculture,3.9212,3.7878,193.5858,4.6301,0.559
Agriculture,4.0517,46.8907,8.6373,8.0777,4.3532
Agriculture,4.8171,4.0557,141.2152,7.5813,3.602
Agriculture,6.2505,2.8586,12.0815,3.7262,1.6497
Agriculture,8.9063,40.693,35.9313,4.17,1.8649
Agriculture,8.0784,52.9857,33.2919,8.9854,4.0996
Agriculture,4.0787,17.4481,63.9179,11.0873,4.5885
Agriculture,7.5483,17.0253,166.2289,4.0798,3.0949
Agriculture,8.0152,35.7753,171.2067,3.6516,1.9425
Agriculture,5.8056,45.8211,76.8467,3.2839,0.2483
Agriculture,5.3473,50.8607,81.7498,1.427,0.4955
Agriculture,6.7177,17.4599,45.6583,4.9252,0.667
Agriculture,6.2913,45.2933,85.916,5.9268,1.2402
Agriculture,5.1477,17.5644,47.4,6.6609,1.2128
Agriculture,5.802,30.8405,36.5777,8.6457,2.731
Agriculture,6.4991,10.4051,37.3505,1.1026,4.7148
Agriculture,6.6972,8.0063,159.3887,7.0133,4.4177
Agriculture,6.4869,55.4523,23.3855,3.2265,2.6178
Agriculture,8.0372,33.7822,121.4952,2.8085,0.0499
Agriculture,3.5885,0.0,36.9798,9.1888,0.4372
Agriculture,5.125,48.911,165.8585,2.0196,4.2878
Agriculture,7.6008,39.2844,54.7192,3.923,1.3501
Agriculture,7.2159,19.463,19.2613,7.6032,1.4668
Agriculture,8.5194,27.0025,96.363,7.9491,0.845
Agriculture,6.9751,28.1863,199.2394,0.7249,1.2431
Agriculture,6.9619,18.2147,165.3679,0.8789,1.2157
Agriculture,7.3968,59.804,120.4293,8.6381,2.0521
Agriculture,4.4935,33.1642,39.7593,11.3677,3.0923
Agriculture,7.3966,53.5144,19.1385,12.0,1.5752
Agriculture,5.1191,36.7309,169.087,12.0,2.2383
Agriculture,5.7422,40.2102,156.6325,4.2502,0.6954
Agriculture,3.6028,2.3091,91.6129,2.8904,0.1639
Agriculture,8.28,32.0106,81.606,0.9788,1.7399
Agriculture,8.7054,44.376,145.3346,4.1025,0.3937
Agriculture,3.8719,7.9463,104.9431,3.4753,1.3313
Agriculture,6.9701,41.3014,83.8887,6.7201,4.1719
Agriculture,8.883,6.127,54.3163,4.851,1.8274
Agriculture,7.0888,48.2619,33.0506,3.0795,0.9499
Agriculture,8.0521,60.0,117.0482,7.4328,4.5432
Agriculture,4.0819,40.0725,162.1021,3.9251,3.2738
Agriculture,4.9986,2.4064,152.805,4.3224,4.9457
Agriculture,5.4346,34.7325,133.3827,6.9827,1.6551
Agriculture,9.0,43.1129,177.835,1.4521,0.98
Agriculture,7.6869,55.2027,82.3121,9.5068,1.388
Agriculture,8.3614,2.8761,23.7901,11.554,4.2436
Agriculture,6.1986,47.0678,17.6848,6.4971,1.0021
Agriculture,7.4365,7.7567,193.5875,6.6646,1.2653
Agriculture,7.5555,48.198,118.1236,4.7185,3.2801
Agriculture,6.617,52.4386,161.1218,11.6027,3.7165
Agriculture,8.2896,51.1888,101.9492,1.9155,4.7248
Agriculture,4.3201,39.9475,77.5721,9.7401,5.0
Agriculture,3.7263,29.6491,38.1122,7.7088,3.3165
Agriculture,5.2062,50.9284,169.6863,9.4699,1.746
Agriculture,3.9698,33.8224,15.161,11.5174,2.299
Agriculture,3.7724,12.5325,181.3846,5.9923,2.3253
Agriculture,5.6401,56.7657,40.1797,4.1765,1.8554
Agriculture,4.662,23.4682,2.4593,9.3306,1.7687
Agriculture,7.9201,37.9617,27.97,10.2246,0.6506
Agriculture,6.5857,10.0429,178.2009,8.3076,1.8222
Agriculture,5.4946,6.8162,20.5877,10.1684,4.7083
Agriculture,5.016,32.1942,68.8136,9.0248,4.3259
Agriculture,6.6763,33.4112,49.2965,11.2595,3.2058
Agriculture,5.8325,22.6698,6.1005,7.4928,0.9289
Agriculture,3.7525,19.8468,107.8805,4.5296,4.3205
Agriculture,7.173,21.2674,200.0,8.3425,1.6765
Agriculture,6.2025,46.5698,172.816,1.0655,2.7864
Agriculture,4.9692,20.8951,24.4365,6.0763,4.3716
Agriculture,5.0297,57.0394,173.3227,9.6379,1.6665
Agriculture,5.9417,6.3416,91.4088,2.653,4.573
Agriculture,8.0105,56.5365,62.1254,4.7408,1.2537
Agriculture,5.8282,41.3059,126.0473,4.154,4.6152
Agriculture,8.0999,20.1867,52.2614,4.2806,1.9876
Agriculture,5.8912,0.5726,170.6016,7.866,1.9018
Agriculture,7.9376,49.0961,125.8166,5.9529,2.6069
Agriculture,8.8532,58.9682,26.5637,9.5415,1.6978
Agriculture,3.6156,57.4958,112.1526,0.7649,2.3586
Agriculture,3.9492,25.8064,105.6806,5.2918,2.4771
Agriculture,4.2902,6.1869,93.9879,0.4294,2.466
Agriculture,4.1849,19.1911,66.9729,2.8185,4.8021
Agriculture,6.0493,19.9415,86.9981,9.2425,1.1656
Agriculture,7.7395,8.2314,112.9576,1.0022,1.3822
Agriculture,8.768,31.6798,149.2448,1.3675,4.1441
Agriculture,6.0611,36.2004,182.7689,5.3995,2.1251
Agriculture,7.4093,44.2449,13.0177,9.2892,0.4987
Agriculture,6.8199,4.6056,113.2778,7.6574,2.2879
Agriculture,5.7781,16.3329,151.5078,9.3107,2.6023
Agriculture,7.474,19.9362,29.1512,0.9308,3.1601
Agriculture,6.9358,53.9662,181.5524,7.1054,1.1765
Agriculture,7.6438,55.1974,56.8341,5.3941,4.8834
Agriculture,4.3082,16.0778,169.3843,10.418,3.5689
Agriculture,5.4429,29.7665,128.63,8.8202,3.5942
Agriculture,7.0155,25.4391,107.0879,5.0833,4.2956
Agriculture,4.1115,31.3206,168.0881,6.6862,0.017
Agriculture,7.6744,18.6918,193.9943,5.4948,3.0309
Agriculture,4.2755,25.6347,192.9067,5.164,4.0709
Agriculture,5.3125,8.8322,143.733,7.7818,0.0489
Agriculture,4.8768,41.3943,76.7822,2.8562,3.7422
Agriculture,3.8964,22.1451,168.5319,4.2505,4.8784
Agriculture,5.2022,32.8617,131.8744,3.6582,2.9474
Agriculture,8.5135,36.8831,56.8177,9.2037,2.0819
Agriculture,3.7047,50.3617,189.316,11.4577,2.4348
Agriculture,3.6899,6.5742,153.3039,5.0864,3.4204
Agriculture,7.3024,29.0911,90.5549,0.947,2.801
Agriculture,5.3787,52.3706,92.0944,1.6941,4.0372
Agriculture,4.8041,21.0296,196.5474,5.1259,1.8985
Agriculture,6.2548,27.0755,74.917,4.6695,2.1428
Agriculture,5.0525,3.9528,21.6715,1.8122,3.7502
Agriculture,5.7369,45.9175,106.964,9.9789,3.257
Agriculture,7.5432,4.4313,181.8703,6.0944,3.8382
Agriculture,4.0565,38.981,114.151,1.1808,4.5195
Agriculture,8.7149,20.9408,157.3428,1.7796,1.3517
Agriculture,3.7457,20.1395,2.7154,5.4044,1.6617
Agriculture,7.9164,35.6464,143.9663,1.5858,2.5472
Agriculture,7.5355,32.7801,7.8756,6.9305,4.7634
Agriculture,5.2011,24.955,115.7248,4.5458,4.1204
Agriculture,4.1398,17.94,101.2607,11.3582,2.195
Agriculture,8.039,30.2458,189.0984,4.9241,3.0486
Agriculture,7.023,16.4977,22.9329,7.507,3.6445
Agriculture,4.9577,5.2041,0.0504,9.6497,2.8054
Agriculture,3.5,51.3828,25.905,4.0253,0.4903
Agriculture,8.7351,42.1461,32.0461,6.3743,1.8626
Agriculture,5.7181,5.4586,41.6807,1.5851,0.3621
Agriculture,4.4777,9.4348,165.3497,4.9406,3.3147
Agriculture,8.5945,5.2173,77.9923,4.7238,1.525
Agriculture,5.6245,48.5999,166.7597,5.2869,3.7332
Agriculture,6.0265,43.484,54.2097,1.1032,2.177
Agriculture,7.4241,22.2934,174.4171,4.9494,0.2607
Agriculture,8.0455,49.6683,0.0,10.6246,1.8982
Agriculture,3.8797,57.9963,180.435,11.2725,1.0419
Agriculture,8.2794,59.2425,149.2471,2.935,1.0105
Agriculture,8.5916,58.2299,81.2334,4.0699,1.9571
Agriculture,4.9476,48.7773,113.7641,0.7436,4.5817
Agriculture,6.2885,12.9397,189.0206,1.3011,4.6298
Agriculture,8.1966,3.1235,114.9309,4.5155,3.8322
Agriculture,5.9938,47.4006,47.4806,8.3853,1.0258
Agriculture,6.1104,19.4562,121.6737,3.5041,3.8054
Agriculture,6.6997,20.6936,182.6885,1.0397,0.1329
Agriculture,7.6984,3.1967,200.0,8.7849,0.3342
Agriculture,7.2226,41.0432,107.2904,5.9557,4.0568
Agriculture,6.9933,26.2716,33.6545,6.2218,2.65
Agriculture,5.4889,11.1083,160.5703,3.615,1.8831
Agriculture,7.0099,37.9964,200.0,7.3836,3.7536
Agriculture,3.9448,58.6622,92.0634,10.9322,0.6297
Agriculture,5.682,29.961,75.1065,7.0145,1.2915
Agriculture,4.3537,36.9857,115.4185,7.0355,3.7208
Agriculture,6.3982,11.0398,30.8255,4.7205,1.0539
Agriculture,4.856,9.101,190.4482,1.4595,2.9036
Agriculture,6.2377,28.1996,165.0546,5.411,2.1756
Agriculture,7.7454,50.4766,22.8292,11.5981,0.9227
Agriculture,5.9144,55.9614,188.1265,8.5553,4.3607
Agriculture,4.487,37.4872,182.1205,5.8829,2.2873
Agriculture,4.6318,22.2603,61.5568,7.5029,3.0463
Agriculture,8.592,44.0098,131.4163,7.1913,1.1543
Agriculture,7.9045,16.4279,22.898,10.6899,1.6888
Agriculture,3.7073,12.6255,19.2855,2.8254,0.305
Agriculture,8.6935,45.203,94.6772,11.1356,2.2135
Agriculture,3.9951,46.2629,12.5955,8.8033,1.7841
Agriculture,7.0501,51.8787,180.9997,1.7769,1.8448
Agriculture,6.6237,34.0361,186.8912,4.1952,4.4812
Agriculture,3.6198,52.6422,8.6366,5.264,3.501
Agriculture,5.1394,2.7286,12.0189,1.3492,2.1345
Agriculture,7.8285,15.5435,47.53,6.5525,0.7464
Agriculture,5.193,48.9283,183.1899,3.8139,4.8153
Agriculture,6.1255,25.6233,158.0782,5.5504,0.423
Agriculture,7.3212,14.5653,137.1043,5.6913,0.6643
Agriculture,3.9487,48.167,147.2985,6.3273,1.4743
Agriculture,8.1007,50.4751,37.5434,10.2586,4.8095
Agriculture,3.7831,25.9985,49.9725,9.4125,1.3147
Agriculture,4.9028,27.3107,63.2975,10.3686,2.583
Agriculture,7.6616,45.5945,120.9954,6.8591,3.865
Agriculture,8.5757,46.9998,124.8014,7.6319,4.4881
Agriculture,7.5838,52.5233,45.019,5.2298,2.9262
Agriculture,4.6243,39.5937,93.8078,8.5593,1.8723
Agriculture,9.0,8.0932,139.3589,2.7626,5.0
Agriculture,5.8198,32.4635,67.8294,6.1681,0.2048
Agriculture,5.5435,20.0867,18.8198,9.0319,4.0578
Agriculture,8.1824,3.9638,44.3853,9.1442,1.704
Agriculture,3.7631,11.9426,39.3315,2.9425,4.1659
Agriculture,6.5532,11.3537,125.0375,2.6484,0.6921
Agriculture,8.8004,4.7935,13.3869,3.4881,1.7043
Agriculture,4.099,27.1774,168.5501,11.0018,0.2281
Agriculture,6.3318,32.8545,21.2975,1.4055,0.9141
Agriculture,4.0901,20.1699,123.6819,11.6159,3.1443
Agriculture,8.4235,24.9643,186.4851,11.9317,3.7948
Agriculture,6.7751,32.2578,15.6704,9.6952,4.6491
Agriculture,4.8897,9.7604,80.8963,9.3628,0.586
Agriculture,5.3715,35.6237,65.666,11.6972,0.6669
Agriculture,6.3118,40.2482,70.5621,3.8796,4.6342
Agriculture,7.5632,53.5101,120.0054,1.6307,3.8317
Agriculture,6.0668,18.6321,52.0246,9.9094,2.6209
Agriculture,4.2565,43.9135,2.7476,2.2652,2.3806
Agriculture,7.287,35.1693,186.8416,0.7613,0.7316
Agriculture,4.0983,27.7319,144.6193,2.6804,1.7621
Agriculture,8.1883,55.9446,26.7393,5.2584,1.8272
Agriculture,5.4929,35.5691,86.5475,6.1166,3.0639
Agriculture,7.1714,22.336,8.7664,0.8014,3.1301
Agriculture,5.3308,41.4699,2.2955,5.4919,0.3488
Agriculture,7.2346,56.1583,8.3763,7.4174,4.196
Agriculture,8.3952,55.151,155.6779,10.9173,4.5109
Agriculture,7.2571,60.0,80.4428,2.9659,3.9025
Agriculture,7.3054,4.784,169.0699,3.0116,0.9147
Agriculture,7.7151,26.5356,57.3452,5.0469,0.9027
Agriculture,6.2496,26.0848,154.8801,11.5288,3.5532
Agriculture,4.7439,22.9342,13.1003,3.8691,2.2253
Agriculture,7.9387,11.0812,126.281,0.8417,4.0851
Agriculture,6.854,49.9515,65.9447,3.3701,0.3254
Agriculture,5.2383,38.2951,56.9875,6.7522,3.6857
Agriculture,5.2622,37.925,163.2709,4.4803,2.1191
Agriculture,6.3426,27.2851,11.0028,9.0936,0.1408
Agriculture,4.6724,23.0555,193.7747,7.6704,2.7388
Agriculture,8.3727,45.9883,151.4705,6.901,3.4415
Agriculture,7.837,31.172,66.7585,4.4804,2.6553
Agriculture,4.9493,37.508,200.0,6.9165,0.711
Agriculture,3.656,4.4031,42.6774,7.5418,4.1698
Agriculture,3.7783,27.2818,72.7844,1.9445,1.7004
Agriculture,5.2357,7.7164,176.2543,8.9624,4.5449
Agriculture,4.5127,1.3013,200.0,4.8154,4.5402
Agriculture,8.1849,40.1929,56.1554,8.6931,1.2195
Agriculture,5.8865,16.1578,154.8545,2.603,2.2845
Agriculture,5.1688,54.9615,59.3234,7.9616,0.6757
Agriculture,4.662,36.0413,152.7916,0.6154,3.2675
Agriculture,8.1235,37.132,17.7914,1.8805,4.2705
Agriculture,8.044,13.229,67.6469,10.8007,3.346
Agriculture,5.524,7.0676,15.8159,5.6073,1.474
Agriculture,4.3932,32.4106,102.009,6.7315,0.2817
Agriculture,8.8451,55.9967,131.4945,10.7792,0.2636
Agriculture,5.1566,2.398,72.0275,5.7578,3.2127
Agriculture,7.6828,30.9126,122.0418,7.9845,4.4637
Agriculture,5.8882,13.9629,117.3214,2.7654,3.4125
Agriculture,7.8676,46.9786,57.3146,1.2189,3.7502
Agriculture,5.9912,40.4909,106.7841,4.7571,1.4763
Agriculture,8.7063,6.2891,9.4818,9.394,2.8253
Agriculture,7.765,37.5613,90.0133,5.4994,1.7089
Agriculture,4.8483,58.5725,87.2743,2.0366,4.3096
Agriculture,5.7381,28.2031,4.9222,6.4749,0.4599
Agriculture,4.0221,16.0577,104.6726,3.2808,3.2441
Agriculture,8.5875,7.5628,148.2657,11.3732,3.8166
Agriculture,3.8043,59.3503,86.9974,7.4336,3.6358
Agriculture,3.5,35.2405,134.0927,11.6754,1.0275
Agriculture,6.2284,23.0669,112.0088,0.6498,2.5764
Agriculture,6.8099,12.2615,154.2366,0.2,3.3246
Agriculture,4.8023,57.3265,115.2394,5.9372,4.5739
Agriculture,6.4934,37.598,61.9017,10.4004,2.4047
Agriculture,8.4518,4.0847,165.6708,6.5284,1.5725
Agriculture,7.08,4.2582,13.6843,10.5959,1.9763
Agriculture,5.8949,57.9288,53.3941,1.313,2.8471
Agriculture,4.3153,42.4387,119.0948,8.8616,4.8192
Agriculture,4.3173,4.0484,170.7223,8.0579,3.0929
Agriculture,6.2844,35.8354,16.1087,6.7181,0.8543
Agriculture,6.2333,25.1868,19.2069,5.3956,4.1365
Agriculture,6.2422,46.9995,59.6771,7.7202,0.9892
Agriculture,6.3255,17.2893,71.3261,6.3643,0.0821
Agriculture,5.4163,24.2158,164.7452,3.1602,0.7049
Agriculture,7.3419,10.0869,190.5775,1.4267,4.13
Agriculture,4.6423,13.6496,0.1788,4.7356,4.4359
Agriculture,8.125,12.0235,9.74,6.6305,1.3473
Agriculture,4.397,1.793,176.7833,6.2925,2.5028
Agriculture,5.7695,3.5317,28.4439,4.8786,2.9727
Agriculture,4.7541,49.2676,70.0069,3.902,1.9933
Agriculture,7.0229,51.8052,54.5844,4.1954,0.3371
Agriculture,6.1468,6.3489,56.9878,3.2742,0.1352
Agriculture,5.45,40.1859,62.7273,6.8776,2.3554
Agriculture,5.9724,45.5962,64.5562,9.9413,4.1496
Agriculture,5.7488,4.0685,126.4991,10.6155,0.558
Agriculture,7.9933,5.3241,121.4489,11.8178,1.1702
Agriculture,3.9059,34.5264,101.7653,0.9504,1.4231
Agriculture,7.7145,23.5351,170.8011,3.1068,2.7047
Agriculture,7.1386,42.093,163.0956,8.8013,0.0846
Agriculture,5.2355,33.7356,47.4471,8.2835,4.1928
Agriculture,8.5912,2.6308,111.3607,2.0455,2.3988
Agriculture,4.3822,41.0464,158.4814,7.5372,2.2924
Agriculture,5.3389,13.8357,171.8172,5.4319,1.65
Agriculture,5.4955,19.953,55.733,11.7519,1.1156
Agriculture,7.0121,43.8158,100.4558,10.1556,1.7999
Agriculture,8.6227,45.4132,108.9562,0.9899,4.5707
Agriculture,6.6837,21.6768,144.1114,1.3324,0.7318
Agriculture,8.2194,5.4568,64.1427,5.0705,0.3005
Agriculture,8.5089,45.4689,55.1483,0.5422,0.6126
Agriculture,6.0605,51.637,137.1011,1.4064,4.0025
Agriculture,5.9583,58.6366,80.1082,11.4522,0.3326
Agriculture,4.9197,18.5116,0.0,9.7003,1.7493
Agriculture,6.6756,9.1661,183.2845,7.9776,2.1518
Agriculture,4.0405,55.0623,27.1502,9.6157,2.5633
Agriculture,6.9265,23.3847,27.246,2.9785,0.0
Agriculture,8.4962,4.4957,166.0593,9.2602,2.6074
Agriculture,7.5591,28.4641,61.3656,7.6949,0.9154
Agriculture,7.111,10.4761,58.8575,10.2422,0.5772
Agriculture,7.8287,20.7064,117.7798,3.8637,2.643
Agriculture,7.5696,18.7172,13.909,9.2196,4.0322
Agriculture,6.5281,56.6395,45.0652,10.2881,4.591
Agriculture,6.4327,36.9386,8.1854,6.769,4.7999
Agriculture,4.083,29.724,65.2768,4.9857,1.9822
Agriculture,5.8128,29.9823,175.7366,11.1843,3.5933
Agriculture,6.2699,37.4949,178.9491,2.297,3.4798
Agriculture,5.9915,52.0754,56.3384,0.633,2.2191
Agriculture,7.7019,9.4698,45.0434,2.2578,0.5041
Agriculture,4.4881,35.5316,28.0088,8.3912,1.9423
Agriculture,7.8587,20.4295,77.1426,9.4205,4.9721
Agriculture,7.6654,31.4838,166.0675,8.8446,2.8318
Agriculture,8.7893,31.1918,168.8653,4.8699,1.6142
Agriculture,5.7358,3.6325,11.2201,11.3163,3.4981
Agriculture,4.4693,33.1993,35.0648,5.1313,3.4777
Agriculture,7.6109,43.4556,39.027,11.7821,3.1071
Agriculture,6.828,15.2301,161.4594,10.7165,3.1461
Agriculture,7.5102,4.6991,90.9427,5.4153,3.0015
Agriculture,9.0,13.1164,69.8552,2.5021,4.6333
Agriculture,4.7322,38.5939,188.9253,1.3536,2.49
Agriculture,5.6569,28.0181,182.8703,6.6902,2.9558
Agriculture,4.5913,53.2879,89.054,9.0049,2.3553
Agriculture,8.2294,18.3029,24.138,2.5509,3.1128
Agriculture,3.6684,22.8838,30.1411,3.8829,4.2725
Agriculture,4.193,33.3651,24.0676,7.6284,1.6818
Agriculture,4.9038,26.6268,144.4435,5.5924,2.4169
Agriculture,7.5456,32.2379,109.5077,7.1575,2.1519
Agriculture,6.9543,17.9345,116.5389,8.3188,1.9168
Agriculture,5.8257,9.387,13.4909,4.5645,4.1324
Agriculture,4.3157,47.6086,155.6034,9.4123,1.1744
Agriculture,5.2577,2.1948,112.2949,7.9583,2.4799
Agriculture,7.7064,21.7199,19.0685,8.4016,4.488
Agriculture,5.6525,3.939,146.5553,1.9396,0.7796
Agriculture,5.856,45.1322,199.6019,5.5743,0.1359
Agriculture,6.832,20.88,84.0934,6.9544,1.1618
Agriculture,8.563,3.6923,23.3917,2.7614,4.5402
Agriculture,5.0259,5.5207,24.0256,8.7863,0.3235
Agriculture,6.0937,10.5021,6.6344,2.0119,0.5749
Agriculture,5.1997,47.191,164.1175,2.3025,1.5775
Agriculture,6.1339,46.2523,136.5405,5.2456,3.7845
Agriculture,7.3219,60.0,119.6251,2.0918,3.6707
Agriculture,6.096,14.4615,156.6449,0.2198,0.4373
Agriculture,8.2105,3.5862,198.9825,5.0524,4.5125
Agriculture,6.6561,17.253,76.6338,7.7266,1.3937
Agriculture,5.6513,10.5222,145.8059,6.1021,1.3465
Agriculture,7.7309,41.8326,73.4107,1.0409,1.8946
Agriculture,5.8693,58.039,72.9863,2.9254,3.1382
Agriculture,6.3398,17.8867,171.8946,6.0832,2.5096
Agriculture,9.0,19.0501,115.4555,9.0074,4.7682
Agriculture,7.7918,22.7396,29.5139,9.4255,2.8488
Agriculture,8.2064,50.8507,82.0482,6.5488,4.0345
Agriculture,6.7813,34.8968,161.8222,8.2667,0.2672
Agriculture,5.3855,60.0,189.6163,11.112,4.215
Agriculture,8.9802,38.3071,123.1904,0.9185,1.052
Agriculture,4.8544,42.7777,77.3187,1.3973,1.9319
Agriculture,8.2107,6.1343,50.3186,5.5802,1.5858
Agriculture,8.451,58.2994,86.8754,7.1829,1.8454
Agriculture,7.8416,36.6793,115.0143,0.2,4.6708
Agriculture,4.0462,31.8088,3.272,5.5042,2.4223
Agriculture,8.3545,23.5538,68.8405,2.186,1.2839
Agriculture,7.2236,2.0233,132.299,7.5233,1.4317
Agriculture,7.1562,8.2982,128.3068,3.3699,4.0381
Agriculture,7.8048,0.0,128.965,10.829,2.6217
Agriculture,6.1023,60.0,188.5644,0.4216,2.3257
Agriculture,5.0492,48.3585,115.468,9.7194,4.5105
Agriculture,6.6898,46.7262,52.9364,4.2752,4.502
Agriculture,4.1728,43.6629,165.2503,10.0742,3.775
Agriculture,7.1767,28.5354,74.806,9.5392,2.7381
Agriculture,6.2663,6.6612,50.1688,2.9689,0.6323
Agriculture,6.1317,3.6763,105.5349,0.6357,3.6214
Agriculture,4.4568,55.243,57.7858,8.3276,4.2423
Agriculture,3.6833,0.7765,75.9876,3.0598,4.3035
Agriculture,6.9502,42.8578,137.1888,10.9518,2.8748
Agriculture,7.0638,36.552,190.9846,1.2528,3.2298
Agriculture,6.1343,29.7683,132.371,4.1643,3.6431
Agriculture,7.7125,60.0,53.7695,0.4395,4.2963
Agriculture,6.8685,11.8691,17.6481,4.2316,0.1422
Agriculture,8.0577,48.3537,74.0609,6.4794,2.8108
Agriculture,5.2209,42.9599,0.9386,7.8922,1.9354
Agriculture,4.8362,58.3848,90.9796,8.572,4.0685
Agriculture,4.9369,57.0417,124.9294,9.4721,0.6825
Agriculture,3.6016,8.8587,101.064,1.5319,4.6391
Agriculture,8.5222,16.8328,179.2243,9.5962,0.5954
Agriculture,9.0,51.5303,99.9021,3.1582,0.4748
Agriculture,8.1564,15.5236,86.4616,1.5284,1.7815
Agriculture,5.8007,20.8188,63.63,3.4055,5.0
Agriculture,5.3705,37.4211,172.6454,10.271,3.177
