Application,pH,Molarity_M,Conductivity_uS_per_cm,ReactionRate_per_s,Turbidity_NTU
Chemistry,4.616,4.5633,1770.9741,24.8844,515.4036
Chemistry,9.1191,2.0771,11251.3686,73.5498,888.6568
Chemistry,0.0947,1.5127,18349.3193,58.7404,70.7459
Chemistry,12.1268,4.708,8497.684,97.5343,130.4055
Chemistry,10.5928,1.9391,2669.7372,41.7712,765.0659
Chemistry,3.5541,3.5669,8805.2894,91.8647,1000.0
Chemistry,4.4995,4.233,15575.668,75.5884,779.5946
Chemistry,4.2638,0.0948,16284.9616,16.7772,772.3155
Chemistry,12.0949,2.9417,7625.2453,72.5181,533.5298
Chemistry,4.878,3.6091,9119.5303,64.2965,347.8521
Chemistry,3.9163,2.0317,12432.1713,94.9687,175.3019
Chemistry,10.3423,3.2398,9726.0939,46.5198,172.1899
Chemistry,7.8121,4.195,4352.1436,53.0371,448.9914
Chemistry,5.0643,1.6166,15674.5026,72.312,959.6451
Chemistry,8.0808,1.4718,8778.843,61.3255,625.5756
Chemistry,13.1892,0.3675,7784.9462,59.7127,874.1141
Chemistry,6.4382,4.8921,6522.4841,46.8483,235.1483
Chemistry,0.2245,0.29,17652.3608,74.2627,390.5614
Chemistry,10.621,2.3521,6294.3561,0.3143,740.1939
Chemistry,13.69,2.8275,13963.1989,16.3144,47.3951
Chemistry,0.9023,0.7208,6432.4186,85.3197,286.9528
Chemistry,8.128,2.3765,4962.4756,91.5508,546.918
Chemistry,5.0858,1.3267,8209.8367,68.6042,721.5623
Chemistry,7.7379,4.2197,18598.5573,16.8847,458.2892
Chemistry,4.218,3.9074,16508.1215,63.9911,836.4532
Chemistry,10.0458,2.1559,5563.5013,28.9987,592.7414
Chemistry,1.073,2.3659,7655.9405,54.8683,645.6168
Chemistry,1.1332,0.3611,12182.1273,21.2445,261.9042
Chemistry,7.3365,1.9025,8083.0926,14.7801,326.108
Chemistry,4.7747,2.1107,18024.9172,19.7203,43.1053
Chemistry,13.1427,2.2813,11005.746,88.7429,40.7655
Chemistry,2.6242,2.2773,17627.1484,6.574,924.158
Chemistry,11.0156,0.4198,4288.0929,3.5844,578.1102
Chemistry,13.7031,0.7653,13209.3695,22.9233,119.7796
Chemistry,4.1064,2.0954,7186.6336,56.0186,309.2902
Chemistry,13.1735,1.846,1830.1347,8.9049,616.4618
Chemistry,4.6057,0.728,7976.5454,50.112,851.3352
Chemistry,7.614,3.1625,6883.7424,72.1197,43.9252
Chemistry,0.5722,0.6118,6507.6253,55.4382,448.8604
Chemistry,3.5077,0.0055,13193.4155,76.3566,62.6425
Chemistry,0.495,3.2988,8266.9224,53.987,454.6048
Chemistry,0.6486,0.6151,2253.7267,10.9641,721.3738
Chemistry,13.7687,0.3149,3646.7674,68.2482,770.4523
Chemistry,10.8347,0.2522,10567.2704,35.0762,289.7006
Chemistry,4.0686,4.7439,11291.5894,52.3834,289.1068
Chemistry,9.6104,0.6788,0.0,98.385,989.8488
Chemistry,7.3915,3.9783,3607.0737,28.3595,100.9141
Chemistry,13.1078,3.942,12950.9278,79.3947,648.1916
Chemistry,3.1773,4.3043,6534.1977,55.0412,726.0458
Chemistry,7.3635,3.062,6391.1764,92.1975,783.7852
Chemistry,0.0468,0.8236,711.908,87.9375,628.096
Chemistry,10.3193,3.8088,7553.606,71.048,411.7174
Chemistry,8.0459,2.8682,931.7413,36.1025,141.1675
Chemistry,8.6586,2.8403,5665.9299,96.7716,578.0805
Chemistry,10.1278,2.9993,1973.2533,83.1623,620.1894
Chemistry,5.3128,0.7154,17055.7693,95.2237,618.9339
Chemistry,1.6372,1.3142,3648.4901,97.8907,911.3287
Chemistry,2.5525,4.8602,2474.3165,42.4766,428.0049
Chemistry,10.0144,4.2634,17882.9653,12.9603,961.5258
Chemistry,13.9152,1.8389,12222.2479,48.4092,233.4807
Chemistry,6.7865,4.8563,18615.6143,11.3642,243.7997
Chemistry,2.7413,0.4606,12027.9838,48.6317,103.529
Chemistry,1.101,1.7277,13002.2063,56.9397,59.9231
Chemistry,6.296,2.7956,6828.7711,58.5204,466.7477
Chemistry,9.791,3.0496,14529.5199,0.0001,621.7215
Chemistry,8.2953,4.0783,12102.553,82.3797,389.5679
Chemistry,4.3386,3.6972,1937.0936,46.9151,526.6666
Chemistry,8.461,3.5743,2779.8536,67.26,427.063
Chemistry,7.9948,4.9818,13457.5449,10.5663,53.634
Chemistry,3.1755,2.8529,5076.9955,73.9998,177.1957
Chemistry,5.924,0.1477,10977.3893,43.4529,242.2879
Chemistry,12.3553,3.0397,4121.5494,74.8086,653.9628
Chemistry,10.6009,3.7728,7419.8624,96.3792,857.9305
Chemistry,12.5526,4.7553,17992.4144,72.7689,215.9449
Chemistry,12.3668,1.9629,12765.6689,61.05,220.9196
Chemistry,3.6939,0.2289,8975.7957,67.9769,716.4479
Chemistry,12.4971,0.7714,9655.2649,74.195,936.6831
Chemistry,8.5031,4.3686,7677.2964,49.245,331.48
Chemistry,13.7472,4.7992,13499.7439,84.1071,340.5286
Chemistry,2.59,1.0676,4132.3619,56.1545,358.4945
Chemistry,4.7083,3.3326,6451.478,63.7069,198.7152
Chemistry,4.9876,2.4121,13890.6942,39.2302,473.8126
Chemistry,0.6885,2.8162,14993.2177,95.0451,520.3593
Chemistry,6.8084,0.453,18263.0678,51.0135,146.1849
Chemistry,13.0236,4.8803,6201.5778,19.9459,191.761
Chemistry,11.9079,2.4361,16908.7215,31.4784,197.4075
Chemistry,2.7625,3.7696,16454.1305,15.3874,623.3902
Chemistry,4.3487,2.4422,1243.9782,11.9251,733.0923
Chemistry,13.2832,4.2942,13431.8698,94.5056,271.7199
Chemistry,1.1736,3.0968,15118.172,66.4001,728.4795
Chemistry,6.6272,1.5566,0.0,0.9739,896.2715
Chemistry,12.3955,2.6423,10282.9536,79.4017,484.7639
Chemistry,9.6528,3.9273,19190.0536,54.5755,929.758
Chemistry,13.5314,1.3956,19559.9897,12.3838,623.2883
Chemistry,13.9644,3.9556,14530.3537,44.0368,185.7114
Chemistry,10.3413,3.7106,16006.931,37.5901,275.9637
Chemistry,6.1686,0.0001,6506.6675,33.9542,592.2688
Chemistry,9.0692,4.2706,9330.2152,46.0553,209.763
Chemistry,11.1986,2.4901,19571.6746,60.1632,0.0
Chemistry,4.0345,4.8555,16686.4228,55.8394,237.8245
Chemistry,6.3298,0.0001,1189.3595,28.2487,58.3247
Chemistry,10.0228,4.3625,551.6364,72.0842,908.7868
Chemistry,3.724,3.914,11508.7589,98.5968,718.7279
Chemistry,9.1013,3.3267,7186.0031,96.9693,5.5088
Chemistry,1.9576,2.8995,4944.6865,98.1694,59.7374
Chemistry,5.6814,2.9135,6251.8269,54.0667,7.9012
Chemistry,1.3255,4.2336,18849.532,4.2118,800.401
Chemistry,11.9,4.976,6567.2072,75.9789,775.7193
Chemistry,4.1092,2.2128,7827.6867,66.9554,741.6908
Chemistry,12.4569,2.8453,9049.1114,96.4884,169.3697
Chemistry,10.6477,0.948,3287.1016,35.9713,1000.0
Chemistry,4.5806,2.0187,7408.4212,99.5811,806.3986
Chemistry,8.1174,0.9119,12630.9911,6.7287,618.3421
Chemistry,6.2886,0.0001,5450.36,30.0085,660.1977
Chemistry,11.6324,3.5785,12495.5197,71.9895,410.4644
Chemistry,9.762,1.3849,5198.6806,61.4342,601.7901
Chemistry,9.1879,4.4027,15160.092,20.5971,359.0743
Chemistry,10.1846,2.3137,19264.3959,31.5068,699.9239
Chemistry,5.9324,3.9332,9087.6331,16.0039,363.5347
Chemistry,5.7754,2.0664,19823.9391,100.0,945.0819
Chemistry,4.5881,4.1804,13275.3092,51.8892,958.55
Chemistry,2.1998,4.2243,14571.3243,87.4334,207.1412
Chemistry,5.322,2.207,10758.3455,41.9186,852.3876
Chemistry,9.1474,4.7054,5307.4944,27.4195,105.8893
Chemistry,4.3358,1.4992,19460.699,47.9648,250.8813
Chemistry,2.8487,1.6774,19638.909,80.306,276.3092
Chemistry,13.5175,2.3604,16930.659,88.1799,616.2645
Chemistry,8.1793,3.771,8921.9853,18.5079,929.3141
Chemistry,0.4966,2.0454,2890.7011,16.4318,299.534
Chemistry,10.9929,0.3763,913.5797,17.2,410.6676
Chemistry,9.4246,0.2075,9707.7085,28.5912,365.1726
Chemistry,5.4408,4.3721,6039.5835,58.3431,400.5144
Chemistry,9.9688,3.2988,16334.1264,74.4359,534.8086
Chemistry,12.5736,0.8054,10452.6537,35.7321,646.3635
Chemistry,2.6513,4.6012,18588.0655,94.6568,379.1902
Chemistry,7.2006,3.6002,14227.4609,42.2718,792.0924
Chemistry,10.7396,3.9516,9238.2773,52.58,588.899
Chemistry,1.1734,2.2071,14963.1554,89.4087,269.5092
Chemistry,10.5847,3.7804,19477.0483,3.3149,345.2829
Chemistry,10.5227,2.9929,11380.0926,62.1688,953.6019
Chemistry,8.2371,3.6682,6384.932,53.0038,623.4024
Chemistry,11.146,1.7042,7517.5862,37.4412,501.6079
Chemistry,9.2844,2.4715,12077.7785,42.6295,258.5744
Chemistry,4.436,0.3052,19446.8639,71.8256,505.9271
Chemistry,2.0044,0.6537,9905.1039,55.1075,77.4671
Chemistry,13.662,4.4045,14268.3303,67.7241,414.5122
Chemistry,8.4542,3.3456,3973.0129,47.9517,868.2302
Chemistry,10.4238,4.2366,12951.856,41.0196,411.2974
Chemistry,7.7787,2.7372,14817.2072,53.6919,849.4261
Chemistry,10.1702,2.1372,8790.7739,40.2801,39.9892
Chemistry,2.5341,4.1548,12855.8387,85.1385,130.3523
Chemistry,3.0512,0.0829,4468.739,89.7299,743.9521
Chemistry,11.9398,3.3332,9428.8703,8.4619,726.8203
Chemistry,0.7855,2.8742,16666.8228,4.9926,639.8152
Chemistry,6.208,0.2786,4187.8619,29.6989,916.9545
Chemistry,2.6517,1.6554,1189.8131,8.0248,543.4751
Chemistry,7.7582,2.6783,13575.6605,56.7305,728.3888
Chemistry,6.8318,0.2349,5795.7838,0.1723,261.4475
Chemistry,9.9998,1.6571,9978.4423,78.4357,600.6424
Chemistry,4.7496,0.028,18173.2644,68.4269,745.0108
Chemistry,6.0601,1.2355,3720.008,20.3606,681.4715
Chemistry,3.3338,4.9102,15318.1815,35.075,807.7137
Chemistry,1.2511,2.2468,10469.9516,31.0052,366.0589
Chemistry,3.6753,4.8379,682.3586,94.5108,280.7839
Chemistry,13.0713,4.0381,3672.1055,88.5831,255.6275
Chemistry,6.827,1.4013,10152.1949,55.2963,821.3138
Chemistry,7.2665,4.8008,4557.4063,35.2506,849.6036
Chemistry,10.2024,1.3551,7387.4818,47.7303,206.9241
Chemistry,12.0879,1.5342,13815.2455,55.9727,350.6821
Chemistry,0.1114,1.3814,17235.8791,52.8056,908.1032
Chemistry,1.7194,2.1085,8513.3244,7.6171,8.7388
Chemistry,5.7356,0.3485,9865.1742,45.6154,355.9112
Chemistry,2.6839,3.986,11821.0037,95.2805,609.2809
Chemistry,6.74,0.4735,2884.1009,40.5978,135.986
Chemistry,8.5123,2.4384,12548.0258,66.326,670.349
Chemistry,6.7229,0.3412,16274.359,99.0,297.0402
Chemistry,9.448,3.308,18123.4213,52.6081,937.6338
Chemistry,0.0749,2.3221,3716.5314,49.0467,49.8026
Chemistry,7.4138,0.0001,17337.1506,25.4369,871.3469
Chemistry,10.742,2.2275,17785.2241,24.6502,637.124
Chemistry,13.7784,1.6401,15232.5941,54.981,610.4889
Chemistry,1.5743,4.5328,16156.6849,73.2031,20.826
Chemistry,0.0,3.0797,8416.5048,43.5105,904.7627
Chemistry,3.5675,4.0242,19838.9462,1.1826,849.9875
Chemistry,4.392,0.6084,13737.5425,57.226,484.1566
Chemistry,11.2949,0.5682,5027.678,57.7479,460.3
Chemistry,3.3133,0.9116,197.4261,9.8516,295.2703
Chemistry,2.9809,4.7036,3356.4882,10.8533,329.5127
Chemistry,12.0604,0.5581,14888.0786,31.1503,449.5826
Chemistry,6.021,2.547,17236.1106,60.6123,87.6653
Chemistry,9.4075,0.3983,1793.9919,20.0617,40.5592
Chemistry,2.8879,3.8844,12761.4774,33.4637,830.1341
Chemistry,8.2044,1.9158,7647.361,10.4908,372.2008
Chemistry,12.8406,2.9993,11280.5767,34.2065,981.5828
Chemistry,10.77,0.4708,16669.8391,74.1257,94.6933
Chemistry,2.0237,2.1317,8524.8785,35.3791,902.4185
Chemistry,2.2417,0.5432,4638.4326,79.591,661.8634
Chemistry,1.6258,1.7068,2465.8823,90.9592,317.5776
Chemistry,13.4067,1.0306,19323.6083,27.6957,261.894
Chemistry,8.5762,2.461,15498.4516,63.3014,970.1362
Chemistry,0.4907,4.4766,1058.0218,28.5761,372.2785
Chemistry,12.1161,1.969,3269.0266,54.8108,560.1052
Chemistry,4.5882,4.4625,13480.3651,12.9572,992.164
Chemistry,9.6704,3.9931,8537.9961,60.6484,177.2801
Chemistry,11.9531,3.6682,12317.3352,16.0951,178.2481
Chemistry,10.3706,3.7579,11553.799,41.5721,217.9022
Chemistry,11.1122,3.6372,2618.7529,28.5132,234.6377
Chemistry,11.6017,1.0033,8305.8899,76.9762,724.6442
Chemistry,2.5225,4.2662,10683.7668,18.5444,145.921
Chemistry,5.3835,1.8855,8877.001,96.2568,21.1271
Chemistry,12.569,1.394,9971.7442,12.0875,711.8339
Chemistry,1.47,4.0959,19436.107,40.8035,966.7745
Chemistry,13.7842,3.2036,19355.9957,78.1062,546.1562
Chemistry,2.7479,1.1478,6464.3132,12.0544,369.0855
Chemistry,9.0503,4.263,14625.3539,28.7058,41.7842
Chemistry,4.4044,2.6301,4210.8483,45.1886,586.6826
Chemistry,13.6748,0.0875,20000.0,76.8313,340.0695
Chemistry,7.1526,2.7379,8680.3031,81.3148,645.0487
Chemistry,1.8078,4.7201,12284.9371,84.7649,948.5657
Chemistry,11.3095,0.767,7188.7627,30.9843,12.5396
Chemistry,5.6677,1.5141,3394.8654,0.0001,719.7579
Chemistry,11.6087,1.0109,3943.8024,74.7736,648.3371
Chemistry,6.3877,1.2844,18639.7006,17.5487,604.5572
Chemistry,13.0568,0.3423,11257.7812,42.346,723.7785
Chemistry,0.7414,2.3957,19187.2821,80.1297,427.4961
Chemistry,13.6902,4.1223,7677.4825,60.7603,100.8221
Chemistry,6.6374,1.0491,9359.0297,87.7716,0.0
Chemistry,5.1975,3.5591,4383.6744,66.4423,438.1091
Chemistry,0.9515,2.8232,2191.1689,41.4338,790.9186
Chemistry,2.9623,1.0973,15793.391,6.275,595.5674
Chemistry,4.944,2.9687,8363.9672,0.0001,106.0088
Chemistry,10.6346,2.718,15766.5386,24.6236,318.8097
Chemistry,10.0897,1.183,8608.2084,59.729,655.4422
Chemistry,12.3309,0.0276,18537.3819,69.2743,931.5802
Chemistry,13.4053,1.983,17314.3507,34.4269,851.4177
Chemistry,10.3333,1.6883,17523.5418,88.3945,624.894
Chemistry,9.4648,1.3454,15448.7247,91.2976,247.9552
Chemistry,12.3599,3.4963,13683.8146,32.2958,890.0293
Chemistry,1.7904,3.5765,17626.3924,34.8449,924.6266
Chemistry,0.6215,4.4999,16963.5918,42.0002,935.8503
Chemistry,9.7081,0.1104,4863.6331,27.4684,588.5425
Chemistry,4.2161,4.5909,13731.0957,65.6194,891.3744
Chemistry,6.0441,3.3311,16384.0758,89.3339,828.5289
Chemistry,8.6066,3.4408,14631.51,39.1194,620.1734
Chemistry,12.8327,4.8652,780.5649,18.9965,997.6527
Chemistry,12.6456,0.5251,12347.6594,21.901,258.2607
Chemistry,9.9038,4.1818,6280.1815,72.9255,611.4178
Chemistry,5.569,3.0755,15532.6549,76.307,33.5307
Chemistry,11.2843,0.9264,15468.148,45.5239,460.7499
Chemistry,2.8437,3.7937,2109.0127,77.5745,846.0221
Chemistry,11.3335,1.662,6983.3502,50.4974,209.8037
Chemistry,6.7915,1.2852,17789.78,34.5533,716.6559
Chemistry,3.8635,2.8185,9414.7781,11.1248,765.0309
Chemistry,6.5009,2.3613,10406.7671,52.107,635.0592
Chemistry,11.143,0.6996,4301.3186,82.5246,907.2955
Chemistry,9.0725,3.5883,3728.9602,90.5701,459.3132
Chemistry,1.8558,1.6443,1129.0895,8.6239,209.3503
Chemistry,9.8849,2.3969,1865.0537,88.6158,622.4457
Chemistry,12.0099,1.4653,3509.4349,16.5951,937.2267
Chemistry,2.0497,2.1334,103.3985,60.0399,631.6825
Chemistry,0.6209,1.2239,20000.0,42.7686,874.1379
Chemistry,1.5412,2.1844,8587.8659,70.8992,859.8478
Chemistry,0.3902,0.6946,8358.0138,52.6608,11.6425
Chemistry,0.0,1.4737,11353.7083,37.9987,85.2133
Chemistry,11.1206,0.9444,16967.7377,9.0666,582.2565
Chemistry,9.705,1.8011,13433.0739,2.4679,854.1306
Chemistry,13.232,4.1449,3740.2623,24.7806,399.9974
Chemistry,5.0324,2.5655,14949.9373,71.5768,889.7207
Chemistry,9.9349,1.9787,2227.5407,60.5705,339.4507
Chemistry,5.643,2.861,17344.9017,41.0686,409.6395
Chemistry,7.8236,3.8636,14898.7035,56.1676,321.9878
Chemistry,6.318,1.6542,17961.5178,60.5332,429.6515
Chemistry,6.0876,4.2359,17370.1162,3.0255,455.1542
Chemistry,3.3692,1.3576,7915.7323,33.3532,500.469
Chemistry,8.2204,4.3222,18263.7127,91.8277,275.7232
Chemistry,3.8677,4.1418,15485.2972,74.5555,358.7607
Chemistry,2.3047,2.9403,8173.0816,6.5327,612.4719
Chemistry,10.3444,1.7468,14406.1125,27.1652,15.7568
Chemistry,9.5322,2.1041,3474.2507,21.2242,550.4068
Chemistry,4.3615,3.9957,11053.1583,36.5366,27.1309
Chemistry,8.8214,0.3026,1196.4329,98.6059,584.9624
Chemistry,0.3554,3.8812,8751.9644,60.3387,377.1584
Chemistry,13.8923,0.6137,11969.7625,16.8821,450.5537
Chemistry,2.1416,3.9539,11963.5296,77.4605,843.102
Chemistry,12.9634,4.6739,7615.2335,61.5722,669.0403
Chemistry,0.6178,2.6556,1580.8709,84.0184,932.7461
Chemistry,10.0701,3.8172,12977.8744,49.3129,200.3629
Chemistry,3.0538,0.9812,1857.8712,85.8625,360.2974
Chemistry,13.6193,3.8541,5271.5406,83.242,251.1297
Chemistry,4.6696,3.6188,16309.5451,4.9141,179.9578
Chemistry,0.8177,0.6521,8721.7345,83.7303,654.9929
Chemistry,0.0,2.6397,20000.0,12.5927,646.6337
Chemistry,11.9016,3.8531,15024.183,10.6125,495.7391
Chemistry,0.5976,0.5912,7255.6176,18.0971,150.6478
Chemistry,11.415,3.204,2188.4759,92.1161,557.592
Chemistry,1.5067,3.8272,9450.3448,51.2923,512.8393
Chemistry,4.1146,1.699,2997.9594,34.6325,557.3392
Chemistry,13.2513,1.8369,13214.8758,4.1024,455.1544
Chemistry,9.8617,1.3653,2139.5773,10.3613,104.296
Chemistry,1.7888,0.9818,19768.1743,15.7872,404.113
Chemistry,4.0566,4.6899,7765.2222,18.4946,317.0621
Chemistry,6.6911,3.63,563.1687,10.9456,263.6521
Chemistry,12.2166,0.2446,16159.2053,8.8904,620.4116
Chemistry,9.6342,4.8182,6931.8433,30.5429,688.6247
Chemistry,9.83,0.5314,12854.348,56.7398,962.8419
Chemistry,4.5552,4.7527,17058.2193,60.5552,625.3892
Chemistry,8.9159,2.1328,2013.5634,29.8515,306.517
Chemistry,2.9129,2.4305,0.0,9.4232,568.002
Chemistry,8.2463,2.7143,3025.6115,60.7989,649.1226
Chemistry,7.4396,0.2969,5515.5368,66.3848,406.0188
Chemistry,9.992,3.2852,10630.5199,71.7836,652.3205
Chemistry,3.3958,3.3721,19689.9933,91.7577,828.843
Chemistry,1.85,2.871,10600.9177,3.5708,628.6864
Chemistry,13.6552,4.6231,16836.3958,19.8269,189.8175
Chemistry,2.0916,2.3067,4029.2876,58.5536,339.2163
Chemistry,4.7723,3.6411,17559.7048,0.7603,999.3315
Chemistry,12.5354,1.7017,14052.6245,5.8239,354.6758
Chemistry,8.782,4.5297,19130.8253,35.458,831.555
Chemistry,3.0917,4.7092,18007.8657,54.5376,173.8232
Chemistry,6.4821,2.4251,16952.7293,69.9649,970.7701
Chemistry,11.7614,3.7242,1755.0059,23.1922,204.8153
Chemistry,14.0,1.1986,14240.206,60.0934,956.4422
Chemistry,9.2097,3.298,5251.2203,35.1794,53.3769
Chemistry,3.7705,0.5518,5365.2275,56.0052,594.7774
Chemistry,11.4498,4.2019,8366.845,66.0043,189.5008
Chemistry,11.5463,3.5275,17134.0835,24.2217,624.0199
Chemistry,12.3634,4.6969,2249.9561,34.5603,906.083
Chemistry,2.0156,3.7951,19034.058,56.7827,318.5217
Chemistry,4.851,0.781,16900.4879,22.2953,423.6869
Chemistry,2.9075,2.3386,5263.1765,93.3571,97.7442
Chemistry,2.7557,2.657,6852.9469,70.8181,594.8662
Chemistry,5.4651,4.2205,1789.7535,63.7066,573.9415
Chemistry,0.3152,2.8793,14783.7652,76.4471,618.2639
Chemistry,12.4492,2.3853,3927.309,24.6285,906.6033
Chemistry,12.1823,3.6632,6071.7334,1.8777,85.7567
Chemistry,13.4837,3.2126,7311.6903,66.6907,468.595
Chemistry,0.6198,3.8545,8428.2829,95.6015,310.8776
Chemistry,7.8565,2.5313,15770.8714,65.5438,233.3157
Chemistry,0.1797,3.5404,9782.8723,13.7177,332.2279
Chemistry,8.2708,4.926,489.1376,86.8757,904.8927
Chemistry,1.7435,0.9422,11718.3357,57.8906,217.518
Chemistry,5.2929,0.2288,6082.9848,60.4962,95.2655
Chemistry,4.7997,2.7263,6225.7314,51.6844,422.9684
Chemistry,4.9262,0.8043,3446.69,77.0361,267.9802
Chemistry,2.7467,0.8254,2646.2117,96.0056,319.9142
Chemistry,1.4512,3.3106,4974.0409,37.8683,459.2846
Chemistry,0.0,2.0373,17476.8889,61.7098,782.8867
Chemistry,10.5884,0.401,17444.9639,87.7731,851.7343
Chemistry,13.0756,2.7391,18551.3659,89.6717,448.2346
Chemistry,12.3378,1.2943,1351.3866,86.0062,873.5308
Chemistry,8.5266,2.1809,18372.5876,54.3222,193.6303
Chemistry,1.5308,0.2749,7674.045,97.7316,306.4944
Chemistry,7.8874,0.0748,13322.0056,18.9955,183.3052
Chemistry,1.5418,1.1238,12832.9718,22.8231,939.5959
Chemistry,7.2154,3.5215,3825.0106,23.0428,783.6401
Chemistry,11.7816,3.858,3405.6062,38.6275,772.222
Chemistry,2.1777,1.8827,4091.2177,63.0874,664.3998
Chemistry,13.4573,0.6637,4961.5997,42.8739,30.0148
Chemistry,4.9949,4.6892,7128.9447,93.7919,237.9885
Chemistry,2.9755,3.8215,9468.5207,22.6425,904.1558
Chemistry,6.987,0.7616,6778.7122,80.6148,459.5088
Chemistry,11.6415,1.2203,12105.7885,73.151,688.8511
Chemistry,3.3492,0.2081,3195.3958,31.0812,231.8579
Chemistry,1.7698,4.3247,18666.1609,44.0675,83.7519
Chemistry,9.1958,4.7715,16677.7308,73.7351,800.0747
Chemistry,9.6017,0.3749,162.6577,83.7966,225.205
Chemistry,0.9595,0.8488,8891.7325,67.9501,222.5399
Chemistry,3.5353,1.0119,16208.4767,93.2367,395.4878
Chemistry,1.1728,0.9179,6996.7166,65.6815,524.4907
Chemistry,9.4216,4.7993,8677.7994,37.8654,647.0585
Chemistry,7.4676,1.2736,20000.0,64.6387,927.7222
Chemistry,12.4461,1.817,14574.5133,60.4394,764.7416
Chemistry,8.9556,0.2183,4963.0151,50.9653,541.1967
Chemistry,3.8593,3.1598,11601.7607,28.6902,182.137
Chemistry,4.7949,1.2946,15751.3685,68.1977,129.5721
Chemistry,6.0465,1.2822,6079.428,80.3219,157.3458
Chemistry,1.4913,4.8615,1456.012,92.0421,998.9827
Chemistry,12.9992,0.2397,7020.2137,50.4468,797.2102
Chemistry,9.7359,0.9771,17508.8464,73.043,87.4913
Chemistry,10.4081,2.5043,9311.3068,79.0495,324.9904
Chemistry,9.424,2.9202,12270.3567,66.7985,323.4864
Chemistry,6.0867,3.4964,322.0808,38.0624,331.1058
Chemistry,4.6557,0.8829,4531.9383,72.9173,0.0
Chemistry,7.5024,1.9478,16451.6589,98.3705,403.8495
Chemistry,9.9983,1.2676,14053.8811,62.6196,832.443
Chemistry,5.7474,4.1908,2156.8895,74.6853,102.6045
Chemistry,6.5842,1.737,16414.8604,24.1202,81.1229
Chemistry,9.3948,1.4094,10897.2111,64.7259,657.7494
Chemistry,3.4245,3.1068,5279.5289,1.9357,785.989
Chemistry,11.216,0.3688,2967.2334,85.478,229.1419
Chemistry,3.2755,4.2552,3597.5591,20.9401,898.7199
Chemistry,11.9016,1.6238,8055.2373,10.0411,664.2069
Chemistry,0.713,4.2263,17660.3824,19.7004,464.3605
Chemistry,9.4459,5.0,7125.031,49.1477,829.3076
Chemistry,6.5068,0.2857,13554.4241,2.7935,334.1906
Chemistry,3.0375,1.0329,3634.1465,5.4289,261.7923
Chemistry,13.4747,3.6888,535.7094,54.8233,244.8197
Chemistry,2.9115,0.5183,8968.1582,59.1173,166.74
Chemistry,7.1813,2.3099,3209.3033,36.2606,871.8217
Chemistry,8.2805,0.7113,4296.169,2.7638,408.3221
Chemistry,13.209,2.2886,5771.1277,48.7461,850.461
Chemistry,9.0705,0.0775,555.0872,93.0626,911.028
Chemistry,0.8281,0.5945,15905.2873,45.6548,161.9607
Chemistry,6.1196,1.3139,10258.8366,47.7437,44.8863
Chemistry,11.8421,1.0152,7571.3872,54.4224,973.1448
Chemistry,10.8938,1.6697,7201.3654,13.6721,223.9245
Chemistry,0.8083,0.7219,355.6216,79.6414,353.7642
Chemistry,7.7565,3.9427,16705.5854,4.164,98.1846
Chemistry,1.2325,2.4657,14644.1122,4.5469,951.3079
Chemistry,1.3266,1.3441,15019.2596,7.9457,67.7952
Chemistry,13.2889,1.5415,3884.4486,77.4955,793.2951
Chemistry,9.1023,1.1578,1215.0618,37.6681,861.7611
Chemistry,1.038,2.7384,1311.0181,64.07,890.5522
Chemistry,4.3623,2.6063,10423.2638,7.7228,472.6631
Chemistry,9.6796,4.9407,12621.0805,77.2326,565.5081
Chemistry,12.636,3.13,20000.0,35.1329,536.2582
Chemistry,0.6502,2.5294,10406.976,22.1387,507.1308
Chemistry,1.0115,0.2157,6664.9158,73.2631,239.6915
Chemistry,1.8157,2.7569,14519.5367,7.2907,560.8841
Chemistry,8.0329,2.4749,12735.9208,52.9847,281.5736
Chemistry,6.0773,4.4416,0.0,34.4015,598.144
Chemistry,2.1097,3.6077,2538.3666,66.9222,841.5813
Chemistry,7.6118,2.2633,13830.2196,64.7973,9.4011
Chemistry,4.69,1.2156,1491.8281,86.3472,857.7791
Chemistry,2.6826,3.5546,15936.0733,73.0095,453.8346
Chemistry,0.1453,1.5843,17709.7127,42.0391,600.5068
Chemistry,1.2474,1.8074,4069.3724,15.2832,279.8822
Chemistry,5.4716,3.4498,10593.7478,45.9182,979.991
Chemistry,7.1843,1.5763,6380.5318,17.994,617.9309
Chemistry,3.0288,1.5449,10246.3372,10.3179,976.894
Chemistry,10.9836,2.2905,12096.0699,7.5631,769.2804
Chemistry,8.1566,3.2899,210.2616,51.1078,876.264
Chemistry,10.6047,4.7582,18144.868,56.0357,265.6502
Chemistry,5.5243,0.7281,7520.4839,67.2444,635.1165
Chemistry,12.113,1.4343,3925.6845,90.5513,366.2031
Chemistry,10.9431,4.9382,170.0237,92.557,801.4381
Chemistry,7.4849,3.2208,20000.0,33.4178,953.2268
Chemistry,9.5653,0.1275,15107.3339,58.5493,183.8706
Chemistry,2.025,4.5185,9891.0142,44.6086,713.5602
Chemistry,11.1181,1.5222,17545.9345,76.5056,751.8526
Chemistry,8.2456,2.7857,8298.2277,74.2468,347.8819
Chemistry,2.6104,1.6964,13132.439,21.7838,148.0693
Chemistry,3.6335,0.8384,19337.4532,20.5247,316.0641
Chemistry,13.6021,3.0056,13775.2894,15.4301,135.874
